input,subject,,,relation,object
知识图谱的推理的主要技术手段主要可以分为两大类：基于演绎的知识图谱推理，如基于描述逻辑[9]、Datalog、产生式规则等；基于归纳的知识图谱推理，如图6-1所示的路径推理[10]、表示学习[11]、规则学习[12]、基于强化学习的推理[13]等。,知识图谱的推理,,,包含,基于归纳的知识图谱推理
本体的一般定义为概念化的显示规约，它给不同的领域提供共享的词汇。,本体,,,创建者,概念化的显示规约
对于逻辑描述的规范，W3C提出了OWL。,逻辑描述的规范,,,创建者,W3C
2009年，为了适应更多应用的需求，W3C组织又提出了OWL的新版本OWL_2[15]。,OWL,,,属于,OWL_2
2009年，为了适应更多应用的需求，W3C组织又提出了OWL的新版本OWL_2[15]。,OWL,,,创建者,W3C组织
而OWL_2_DL比OWL_DL的表达能力更强，仍有对应的描述逻辑[16]。,OWL_2_DL,,,属于,OWL_DL
为了适应高效的应用需求，W3C组织从OWL_2中分裂出三种易处理的剖面OWL_2_EL、OWL_2_QL和OWL_2RL。,OWL_2,,,属于,OWL_2_EL
为了适应高效的应用需求，W3C组织从OWL_2中分裂出三种易处理的剖面OWL_2_EL、OWL_2_QL和OWL_2RL。,W3C组织,,,创建者,OWL_2
表6-1总结了OWL成员与描述逻辑之间的对应关系。,OWL成员,,,属于,描述逻辑
表6-1总结了OWL成员与描述逻辑之间的对应关系。,OWL成员与描述逻辑之间的对应关系,,,创建者,表6-1
表6-1OWL成员与描述逻辑之间的对应关系基于OWL的模型论语义，在丰富逻辑描述的知识图谱中，除了包含实体和二元关系，还包含了许多更抽象的信息，例如描述实体类别的概念以及关系之间的从属信息等。,OWL成员,,,属于,描述逻辑
判定概念C是否为D的子概念，即C是否被D包含。,判定概念,,,属于,判定概念
判定概念C是否为D的子概念，即C是否被D包含。,判定概念C是否为D的子概念,,,包含,C是否被D包含
例如，在包含公理Mother⊑Women和Women⊑Person的本体中，可以判定Mother⊑Person成立。,判定概念C是否为D的子概念,,,包含,C是否被D包含
例如，在包含公理Mother⊑Women和Women⊑Person的本体中，可以判定Mother⊑Person成立。,判定概念C是否为D的子概念,,,包含,C是否被D包含
判定两个概念C和D是否互斥，即不相交。,判定两个概念C和D是否互斥,,,创建者,不相交
判定两个概念C和D是否互斥，即不相交。,判定两个概念C和D是否互斥,,,包含,不相交
需要判定C⊓D⊑⊥是否为给定知识库的逻辑结论。,判定,,,属于,给定知识库的逻辑结论
需要判定C⊓D⊑⊥是否为给定知识库的逻辑结论。,需要判定C⊓D⊑⊥是否为给定知识库的逻辑结论,,,创建者,C⊓D⊑⊥
（3）概念可满足。,概念可满足,,,属于,概念可满足
（4）全局一致。,全局一致,,,属于,知识图谱
例如，包含公理Man⊓Women⊑⊥、Man（Allen）和Women（Allen）的本体是不一致的。,Man,,,包含,公理Man⊓Women⊑⊥
例如，包含公理Man⊓Women⊑⊥、Man（Allen）和Women（Allen）的本体是不一致的。,Man,,,包含,Man（Allen）
例如，包含公理Man⊓Women⊑⊥、Man（Allen）和Women（Allen）的本体是不一致的。,Women,,,包含,Women（Allen）
例如，包含公理Man⊓Women⊑⊥、Professor⊑Man和Professor⊑Women的TBox是不一致的。,包含,,,包含,公理Man⊓Women⊑⊥、Professor⊑Man和Professor⊑Women的TBox是不一致的
判定个体a是否是概念C的实例，需要判定C(a)是否为给定知识库的逻辑结论。,判定个体a是否是概念C的实例,,,包含,判定C(a)是否为给定知识库的逻辑结论
找出概念C在给定知识库中的所有实例，需要找出属于C的所有个体a，即C(a)是给定知识库的逻辑结论。,C,,,属于,C(a)
2.基于Tableaux的本体推理方法基于表运算（Tableaux）的本体推理方法[20]是描述逻辑知识库一致性检测的最常用方法。,基于Tableaux的本体推理方法,,,属于,基于表运算（Tableaux）的本体推理方法
2.基于Tableaux的本体推理方法基于表运算（Tableaux）的本体推理方法[20]是描述逻辑知识库一致性检测的最常用方法。,基于Tableaux的本体推理方法,,,创建者,基于表运算（Tableaux）的本体推理方法
基于表运算的推理方法通过一系列规则构建Abox，以检测可满足性，或者检测某一实例是否存在某概念，基本思想类似于一阶逻辑的归结反驳。,基于表运算的推理方法,,,属于,Abox
基于表运算的推理方法通过一系列规则构建Abox，以检测可满足性，或者检测某一实例是否存在某概念，基本思想类似于一阶逻辑的归结反驳。,基于表运算的推理方法,,,创建者,基于表运算的推理方法
以一个例子阐述该方法的基本思想。,以一个例子阐述该方法的基本思想。,,,创建者,知识图谱项目
我们使用L←C表示通过加入C进行更新。,L,,,属于,L←C
我们使用L←C表示通过加入C进行更新。,L,,,创建者,通过加入C进行更新
我们使用L←C表示通过加入C进行更新。,L,,,包含,C
"例如，如果=｛D｝而且通过←C来对进行更新，那么将变成{C,D}。",L,,,包含,C
在给出的例子中，不经推导可以得到。,知识图谱项目,,,创建者,在给出的例子中，不经推导可以得到。
因此，通过，得到，得到了矛盾，这表明K是不一致的。,K,,,包含,矛盾
在上面例子中构建的东西实质上是表的一部分。,表,,,属于,关系
在上面例子中构建的东西实质上是表的一部分。,表,,,创建者,知识图谱项目
如果在表构建过程中出现矛盾，那么知识库是不一致的。,知识库,,,创建者,不一致
以描述逻辑为例，在初始情况下，是原始的Abox，迭代运用如下规则：其中，y是新加进来的个体。,描述逻辑,,,属于,Abox
"给定包含如下公理和断言的本体：Man⊓Women⊑⊥,Man(Allen)，检测实例Allen是否Woman_Woman(Allen)，根据⊓−−规则，在Man⊓Women（Allen）加入中，再通过⊑−规则得到⊥(Allen)，这样就得到了一个矛盾，中。",Man⊓Women,,,属于,⊥
"给定包含如下公理和断言的本体：Man⊓Women⊑⊥,Man(Allen)，检测实例Allen是否Woman_Woman(Allen)，根据⊓−−规则，在Man⊓Women（Allen）加入中，再通过⊑−规则得到⊥(Allen)，这样就得到了一个矛盾，中。",Man,,,包含,Allen
"给定包含如下公理和断言的本体：Man⊓Women⊑⊥,Man(Allen)，检测实例Allen是否Woman_Woman(Allen)，根据⊓−−规则，在Man⊓Women（Allen）加入中，再通过⊑−规则得到⊥(Allen)，这样就得到了一个矛盾，中。",Women,,,包含,Allen
首先，加入待反驳的结论所以拒绝现在的，即Allen不在Woman中。,Allen,,,包含,Woman
目前，前沿的超表运算（Hypertableau）技术[23]进一步提高了Tableaux算法的效率，并能处理表达能力很强的描述逻辑。,Tableaux算法,,,属于,超表运算
目前，前沿的超表运算（Hypertableau）技术[23]进一步提高了Tableaux算法的效率，并能处理表达能力很强的描述逻辑。,前沿的超表运算,,,创建者,Hypertableau
目前，已经有不少公开的基于表运算的OWL推理系统，比较著名的包括FaCT++[1]、RacerPro[2]、Pellet[3]和HermiT[4]，其中HermiT是目前唯一实现了Hypertableaux算法[23]的开源OWL推理系统。,OWL推理系统,,,属于,基于表运算的OWL推理系统
虽然Tableaux算法是最通用的描述逻辑知识库一致性的检测方法，但是这类算法并不一定具有最优的最坏情况组合复杂度。,Tableaux算法,,,属于,最通用的描述逻辑知识库一致性的检测方法
例如，针对SHOIN知识库进行一致性检测的问题是NExpTime-完全问题，但是针对SHOIN的Tableaux算法需要非确定性的双指数级的计算空间[22]，而能处理SHOIN的Hypertableaux算法的组合复杂度也达到了2NExpTime级别[23]。,SHOIN知识库,,,属于,一致性检测
因此，如何为SHOIN等强表达力的描述逻辑设计最优组合复杂度的Tableaux算法仍有待研究。,SHOIN,,,创建者,Tableaux算法
Java版本名为Jfact，基于OWL_API。,Java版本,,,创建者,Jfact
构建推理机采用下面的代码：采用以下代码对本体进行分类：（2）Racer。,推理机,,,属于,构建推理机
Racer是美国Franz_Inc.公司开发的以描述逻辑为基础的本体推理机，也可以用作语义知识库，支持OWL_DL，支持部分OWL_2_DL并且支持单机和客户端/服务器两种模式，用Allegro_Common_Lisp实现。,Racer,,,属于,本体推理机
Racer是美国Franz_Inc.公司开发的以描述逻辑为基础的本体推理机，也可以用作语义知识库，支持OWL_DL，支持部分OWL_2_DL并且支持单机和客户端/服务器两种模式，用Allegro_Common_Lisp实现。,Racer,,,属于,本体推理机
以下代码可以进行TBox推理：以下代码可对ABox进行推理：（3）Pellet。,TBox推理,,,包含,ABox推理
Pellet是马里兰大学开发的本体推理机，支持OWL_DL的所有特性，包括枚举类和XML数据类型的推理，并支持OWL_API以及Jena的接口。,TBox推理,,,包含,ABox推理
Pellet是马里兰大学开发的本体推理机，支持OWL_DL的所有特性，包括枚举类和XML数据类型的推理，并支持OWL_API以及Jena的接口。,TBox推理,,,包含,ABox推理
构建推理机采用以下代码：通过查询接口进行推理，采用下面的代码：（4）HermiT。,HermiT,,,属于,推理机
HermiT是牛津大学开发的本体推理机，基于Hypertableaux运算，比其他推理机更加高效，支持OWL_2规则。,HermiT,,,属于,本体推理机
HermiT是牛津大学开发的本体推理机，基于Hypertableaux运算，比其他推理机更加高效，支持OWL_2规则。,HermiT,,,创建者,牛津大学
构建推理机采用以下代码：不一致推理采用以下代码：表6-2为本体推理工具总结。,不一致推理,,,属于,推理机
与本体推理相比，规则推理有更大的灵活性。,规则推理,,,属于,本体推理
与本体推理相比，规则推理有更大的灵活性。,规则推理,,,创建者,与本体推理相比，规则推理有更大的灵活性。
本体推理通常仅支持预定义的本体公理上的推理，而规则推理可以根据特定的场景定制规则，以实现用户自定义的推理过程。,本体推理,,,属于,规则推理
本体推理通常仅支持预定义的本体公理上的推理，而规则推理可以根据特定的场景定制规则，以实现用户自定义的推理过程。,本体推理,,,创建者,规则推理
本体推理通常仅支持预定义的本体公理上的推理，而规则推理可以根据特定的场景定制规则，以实现用户自定义的推理过程。,本体推理,,,包含,规则推理
逻辑编程是一个很大的研究领域，在工业界应用广泛。,逻辑编程,,,创建者,工业界
逻辑编程也可以与本体推理相结合，集合两者的优点。,逻辑编程,,,创建者,本体推理
"逻辑编程的研究始于Prolog语言[24,25]，后来由ISO标准化。",逻辑编程,,,属于,Prolog语言
"逻辑编程的研究始于Prolog语言[24,25]，后来由ISO标准化。",逻辑编程,,,创建者,Prolog语言
Prolog在早期的人工智能研究中应用广泛，多用于实现专家系统。,Prolog,,,创建者,人工智能
在通常情况下，Prolog程序是通过SLD消解和回溯来执行的[25]。,Prolog程序,,,属于,SLD消解和回溯
在通常情况下，Prolog程序是通过SLD消解和回溯来执行的[25]。,Prolog程序,,,创建者,SLD消解和回溯
运行结果依赖对规则内部的原子顺序和规则之间的顺序，因此不是完全的声明式的（declarative）。,运行结果依赖对规则内部的原子顺序和规则之间的顺序,,,属于,声明式的
运行结果依赖对规则内部的原子顺序和规则之间的顺序，因此不是完全的声明式的（declarative）。,运行结果依赖对规则内部的原子顺序和规则之间的顺序,,,创建者,对规则内部的原子顺序和规则之间的顺序
在程序存在递归的情况下，有可能出现运行无法终止的情况。,递归,,,属于,程序
在程序存在递归的情况下，有可能出现运行无法终止的情况。,程序,,,创建者,递归
为了得到完全的声明式规则语言，研究人员开发了一系列Datalog语言。,Datalog语言,,,创建者,研究人员
从语法上来说，Datalog程序基本上是Prolog的一个子集。,Datalog,,,属于,Prolog
从语法上来说，Datalog程序基本上是Prolog的一个子集。,Datalog,,,创建者,Prolog的一个子集
它们的主要区别是在语义层面，Datalog基于完全声明式的模型论的语义，并保证可终止性。,Datalog,,,创建者,基于完全声明式的模型论的语义，并保证可终止性
它们的主要区别是在语义层面，Datalog基于完全声明式的模型论的语义，并保证可终止性。,Datalog,,,包含,基于完全声明式的模型论的语义，并保证可终止性
在本节中，将简要回顾Datalog语言的语法和语义，并展示如何在实践中使用它们。,Datalog,,,创建者,在本节中，将简要回顾Datalog语言的语法和语义，并展示如何在实践中使用它们。
读者可参考文献[26]获得更多关于逻辑程序的相关介绍。,逻辑程序,,,属于,逻辑程序相关介绍
读者可参考文献[26]获得更多关于逻辑程序的相关介绍。,参考文献,,,创建者,26
便于撰写规则，实现推理。,知识图谱项目,,,创建者,实现推理
Datalog与OWL的关系如图6-2所示，其中OWL_RL和RDFS处于OWL和Datalog的交集之中。,Datalog,,,属于,OWL
OWL_RL的设计目标之一就是找出可以用规则推理来实现的一个OWL的片段。,OWL_RL,,,属于,OWL片段
OWL_RL的设计目标之一就是找出可以用规则推理来实现的一个OWL的片段。,OWL_RL,,,创建者,设计目标
图6-2Datalog与OWL的关系Datalog的基本符号有常量（constant）、变量（variable）和谓词（predicate）。,Datalog,,,属于,OWL
常量通常用小写字母a、b、c表示一个具体的实例。,常量,,,属于,常量表示
常量通常用小写字母a、b、c表示一个具体的实例。,常量,,,创建者,小写字母a、b、c
变量用大写字母X、Y、Z表示，有时也会用问号（?）开头，例如？x、?y。,变量,,,创建者,大写字母X、Y、Z
项（term）包括常量和变量。,项,,,属于,知识表示
"原子（atom）形如p(t1,…,tn），其中p是一个谓词，t1,…,tn为项，n被称为p的元数。",原子,,,属于,谓词
"原子（atom）形如p(t1,…,tn），其中p是一个谓词，t1,…,tn为项，n被称为p的元数。",原子,,,创建者,"p(t1,…,tn)"
"例如，假定has_child为一个二元谓词，原子has_child(X,Y)表示变量X和Y有has_child的关系，而原子has_child(jim,bob)表示常量jim和bob有has_child的关系。",has_child,,,包含,"has_child(X,Y)表示变量X和Y有has_child的关系，而has_child(jim,bob)表示常量jim和bob有has_child的关系"
"Datalog规则形如H:-B1,B2,…,Bm.其中，H,B1,B2,…,Bm为原子。",has_child,,,包含,"has_child(X,Y)表示变量X和Y有has_child的关系，而has_child(jim,bob)表示常量jim和bob有has_child的关系"
"Datalog规则形如H:-B1,B2,…,Bm.其中，H,B1,B2,…,Bm为原子。",Datalog,,,包含,"H:-B1,B2,…,Bm.其中，H,B1,B2,…,Bm为原子。"
"H称为此规则的头部原子，B1,B2,…,Bm称为体部原子。",H,,,属于,H-规则
"Datalog事实（fact）是形如F(c1,c2,…,cn):-的没有体部且没有变量的规则。",Datalog事实,,,属于,规则
"事实也常写成“F(c1,c2,…,cn).”的形式。",事实,,,包含,"事实也常写成“F(c1,c2,…,cn).”的形式。"
"例如，规则has_child(alice,bob):-即为一个事实，表示alice和bob有has_child的关系。",事实,,,包含,"事实也常写成“F(c1,c2,…,cn).”的形式。"
"例如，下面的两条规则构成了一个Datalog程序：has_child(X,Y):-has_son(X,Y).has_child(Alice,Bob).3.Datalog推理举例下面的规则集表达了给定一个图，计算所有的路径关系，即节点X、Y之间是否联通：path(X,Y):-edge(X,Y).①path(X,Y):-path(X,Z),path(Z,Y).②节点X和Y联通有两种情况：①X、Y之间通过一条边（edge）直接连接；②存在一个节点Z，使得X、Z联通并且Z、Y联通。",has_child,,,包含,has_son
下面的三个事实表示了一个图中的三条边。,has_child,,,包含,has_son
下面的三个事实表示了一个图中的三条边。,has_child,,,包含,has_son
下面的三个事实表示了一个图中的三条边。,has_child,,,包含,has_son
下面的三个事实表示了一个图中的三条边。,has_child,,,包含,has_son
"edge(a,b).edge(b,c).edge(d,e).Datalog的语义通过结果集定义，直观来讲，一个结果集是Datalog程序可以推导出的所有原子的集合。",Datalog,,,属于,查询语言
图6-3Datalog推理举例4.Datalog与知识图谱Datalog程序可以应用在知识图谱中进行规则推理。,Datalog,,,属于,知识图谱
图6-3Datalog推理举例4.Datalog与知识图谱Datalog程序可以应用在知识图谱中进行规则推理。,Datalog,,,包含,知识图谱
一个知识图谱可以自然地被看作一个事实集。,知识图谱,,,属于,事实集
一个知识图谱可以自然地被看作一个事实集。,知识图谱,,,属于,事实集
一个知识图谱可以自然地被看作一个事实集。,知识图谱,,,包含,事实集
"只需人为引入一个特殊的谓词triple，每一个三元组(subject,property,object)便可以作为一个事实triple(subject,property,object)。",SPO,,,属于,三元组
"另一种方法是按照描述逻辑ABox的方式来看待，即三元组(s,rdf:type,C)看作C(s)，其他的三元组(s,p,o)看作p(s,o)。",描述逻辑,,,包含,ABox
这样一来，Datalog规则就可以作用于知识图谱上。,Datalog,,,创建者,知识图谱
下面介绍的三种语言SWRL、OWL_RL、RDFS与Datalog密切相关。,SWRL,,,属于,Datalog
（1）SWRL（Semantic_Web_Rule_Language）。,SWRL,,,属于,语义网规则语言
（1）SWRL（Semantic_Web_Rule_Language）。,SWRL,,,包含,Semantic_Web_Rule_Language
SWRL是2004年提出的一个完全基于Datalog的规则语言。,SWRL,,,属于,Datalog
SWRL是2004年提出的一个完全基于Datalog的规则语言。,SWRL,,,创建者,2004年提出的一个完全基于Datalog的规则语言
SWRL规则形如Datalog，只是限制原子的谓词必须是本体中的概念或者属性。,SWRL,,,属于,Datalog
SWRL虽然不是W3C的推荐标准，但在实际中被多个推理机支持，应用广泛。,SWRL,,,创建者,W3C
OWL_RL是W3C定义的OWL_2的一个子语言，其设计目标为可以直接转换成Datalog程序，从而使用现有的Datalog推理机推理。,OWL_RL,,,属于,Datalog推理机
OWL_RL是W3C定义的OWL_2的一个子语言，其设计目标为可以直接转换成Datalog程序，从而使用现有的Datalog推理机推理。,OWL_RL,,,创建者,W3C
（3）RDFS（RDF_Schema）。,RDFS,,,包含,RDF_Schema
RDFS的推理也可以用Datalog程序表示。,RDFS,,,属于,Datalog程序
5.基于Datalog的推理工具RDFox介绍目前，最主要的Datalog工具包括DLV[5]和Clingo[6]。,基于Datalog的推理工具,,,属于,RDFox
这两个工具都是一般性的Datalog推理机，而不是专用于知识图谱。,Datalog推理机,,,属于,一般性Datalog推理机
这两个工具都是一般性的Datalog推理机，而不是专用于知识图谱。,Datalog推理机,,,创建者,一般性
知识图谱领域也有多个系统，包括KAON2[7]、HermiT[8]、Pellet[9]、Stardog[10]、RDFox[11]等，支持RL或者SWRL推理。,知识图谱,,,属于,知识表示
知识图谱领域也有多个系统，包括KAON2[7]、HermiT[8]、Pellet[9]、Stardog[10]、RDFox[11]等，支持RL或者SWRL推理。,KAON2,,,创建者,知识图谱
知识图谱领域也有多个系统，包括KAON2[7]、HermiT[8]、Pellet[9]、Stardog[10]、RDFox[11]等，支持RL或者SWRL推理。,知识图谱,,,包含,KAON2
知识图谱领域也有多个系统，包括KAON2[7]、HermiT[8]、Pellet[9]、Stardog[10]、RDFox[11]等，支持RL或者SWRL推理。,知识图谱,,,包含,HermiT
知识图谱领域也有多个系统，包括KAON2[7]、HermiT[8]、Pellet[9]、Stardog[10]、RDFox[11]等，支持RL或者SWRL推理。,知识图谱,,,包含,Pellet
知识图谱领域也有多个系统，包括KAON2[7]、HermiT[8]、Pellet[9]、Stardog[10]、RDFox[11]等，支持RL或者SWRL推理。,知识图谱,,,包含,Stardog
知识图谱领域也有多个系统，包括KAON2[7]、HermiT[8]、Pellet[9]、Stardog[10]、RDFox[11]等，支持RL或者SWRL推理。,知识图谱,,,包含,RDFox
