input,subject,subject_type,data/object,relation,object,object_type
Wikidata起源于Wikipedia，因此与Wikipedia一样，以页面“Page”为基本的组织单元。,Wikidata,知识表示,属性,特点,以页面“Page”为基本的组织单元,文本
Wikidata的知识表示框架主要包含如下要素：页面-Pages、实体-Entities、条目Items、属性-Properties、陈述-Statements、修饰-Qualifiers、引用-Reference 等,Wikidata,知识表示,,包含,页面-Pages,知识表示
Wikidata的知识表示框架主要包含如下要素：页面-Pages、实体-Entities、条目Items、属性-Properties、陈述-Statements、修饰-Qualifiers、引用-Reference 等,Wikidata,知识表示,,包含,实体-Entities,知识表示
Wikidata的知识表示框架主要包含如下要素：页面-Pages、实体-Entities、条目Items、属性-Properties、陈述-Statements、修饰-Qualifiers、引用-Reference 等,Wikidata,知识表示,,包含,条目-Items,知识表示
Wikidata的知识表示框架主要包含如下要素：页面-Pages、实体-Entities、条目Items、属性-Properties、陈述-Statements、修饰-Qualifiers、引用-Reference 等,Wikidata,知识表示,,包含,属性-Properties,知识表示
Wikidata的知识表示框架主要包含如下要素：页面-Pages、实体-Entities、条目Items、属性-Properties、陈述-Statements、修饰-Qualifiers、引用-Reference 等,Wikidata,知识表示,,包含,陈述-Statements,知识表示
Wikidata的知识表示框架主要包含如下要素：页面-Pages、实体-Entities、条目Items、属性-Properties、陈述-Statements、修饰-Qualifiers、引用-Reference 等,Wikidata,知识表示,,包含,修饰-Qualifiers,知识表示
Wikidata的知识表示框架主要包含如下要素：页面-Pages、实体-Entities、条目Items、属性-Properties、陈述-Statements、修饰-Qualifiers、引用-Reference 等,Wikidata,知识表示,,包含,引用-Reference,知识表示
Wikidata起源于Wikipedia，因此与Wikipedia一样，以页面“Page”为基本的组织单元。,Wikidata,知识表示,,来源,Wikipedia,知识表示
Entities类似于OWL:Things，代指最顶层的对象。,实体-Entities,知识表示,属性,作用,代指最顶层的对象,文本
Entities主要有两类：Items和Properties。,实体-Entities,知识表示,,包含,条目Items,知识表示
Entities主要有两类：Items和Properties。,实体-Entities,知识表示,,包含,属性-Properties,知识表示
Items类似于RDF中的Instance，代指实例对象。,条目-Items,知识表示,属性,作用,代指实例对象,文本
一个Statement包含一个Property、一个或多个Values、一个或多个Qualifiers、一个或多个References、一个标识重要性程度的Rank。,陈述-Statements,知识表示,属性,内容,一个Property、一个或多个Values、一个或多个Qualifiers、一个或多个References、一个标识重要性程度的Rank,文本
修饰-Qualifiers用于处理复杂的多元表示。,修饰-Qualifiers,知识表示,属性,作用,处理复杂的多元表示,文本
引用-References用于标识每个陈述的来源或出处，如来源于某个维基百科页面等。,引用-Reference,知识表示,属性,作用,标识每个陈述的来源或出处,文本
2.4.3ConceptNet5ConceptNet5的知识表示框架主要包含如下要素：概念-Concepts、词-Words、短语-Phrases、断言-Assertions、关系-Relations、边-Edges。,ConceptNet5,知识表示,,包含,概念-Concepts,知识表示
2.4.3ConceptNet5ConceptNet5的知识表示框架主要包含如下要素：概念-Concepts、词-Words、短语-Phrases、断言-Assertions、关系-Relations、边-Edges。,ConceptNet5,知识表示,,包含,词-Words,知识表示
2.4.3ConceptNet5ConceptNet5的知识表示框架主要包含如下要素：概念-Concepts、词-Words、短语-Phrases、断言-Assertions、关系-Relations、边-Edges。,ConceptNet5,知识表示,,包含,短语-Phrases,知识表示
2.4.3ConceptNet5ConceptNet5的知识表示框架主要包含如下要素：概念-Concepts、词-Words、短语-Phrases、断言-Assertions、关系-Relations、边-Edges。,ConceptNet5,知识表示,,包含,断言-Assertions,知识表示
2.4.3ConceptNet5ConceptNet5的知识表示框架主要包含如下要素：概念-Concepts、词-Words、短语-Phrases、断言-Assertions、关系-Relations、边-Edges。,ConceptNet5,知识表示,,包含,关系-Relations,知识表示
2.4.3ConceptNet5ConceptNet5的知识表示框架主要包含如下要素：概念-Concepts、词-Words、短语-Phrases、断言-Assertions、关系-Relations、边-Edges。,ConceptNet5,知识表示,,包含,边-Edges,知识表示
Concepts由Words或Phrases组成，构成了图谱中的节点。,概念-Concepts,知识表示,,由组成,词-Words,知识表示
Concepts由Words或Phrases组成，构成了图谱中的节点。,概念-Concepts,知识表示,,由组成,短语-Phrases,知识表示
Assertions描述了Concepts之间的关系，类似于RDF中的Statements。,断言-Assertions,知识表示,属性,作用,描述了Concepts之间的关系,文本
2.5.2词的向量表示方法在介绍有关知识图谱的向量表示方法之前，在此先介绍词的表示方法。,知识表示,知识表示,,包含,知识图谱的向量表示方法,知识表示
2.5.2词的向量表示方法在介绍有关知识图谱的向量表示方法之前，在此先介绍词的表示方法。,知识图谱的向量表示方法,知识表示,,包含,词的表示方法,知识表示
1.独热编码传统的独热编码（One-Hot_Encoding）方法是将一个词表示成一个很长的向量，该向量的维度是整个词表的大小。,词的表示方法,知识表示,,包含,独热编码,知识表示
1.独热编码传统的独热编码（One-Hot_Encoding）方法是将一个词表示成一个很长的向量，该向量的维度是整个词表的大小。,独热编码,知识表示,属性,被定义为,将一个词表示成一个很长的向量，该向量的维度是整个词表的大小；对于某一个具体的词，在其独热表示的向量中，除了表示该词编号的维度为1，其余都为0。,文本
"2.词袋模型词袋模型（Bag-of-Words,BoW）是一种对文本中词的表示方法。",词的表示方法,知识表示,,包含,词袋模型,知识表示
该方法将文本想象成一个装词的袋子，不考虑词之间的上下文关系，不关心词在袋子中存放的顺序，仅记录每个词在该文本（词袋）中出现的次数。,词袋模型,知识表示,属性,被定义为,将文本想象成一个装词的袋子，不考虑词之间的上下文关系，不关心词在袋子中存放的顺序，仅记录每个词在该文本（词袋）中出现的次数,文本
具体的方法是先收集所有文本的可见词汇并组成一个词典，再对所有词进行编号，对于每个文本，可以使用一个表示每个词出现次数的向量来表示，该向量的每一个维度的数字表示该维度所指代的词在该文本中出现的次数。,词袋模型,知识表示,属性,方法,先收集所有文本的可见词汇并组成一个词典，再对所有词进行编号，对于每个文本，可以使用一个表示每个词出现次数的向量来表示，该向量的每一个维度的数字表示该维度所指代的词在该文本中出现的次数,文本
图2-19独热编码示例1图2-20独热编码示例23.词向量上面对词的表示方法并没有考虑语义层面的信息，为了更多地表示词与词之间的语义相似程度，提出词的分布式表示，也就是基于上下文的稠密向量表示法，通常称为词向量或词嵌入（Word_Embedding）。,词的表示方法,知识表示,,包含,词向量,知识表示
图2-19独热编码示例1图2-20独热编码示例23.词向量上面对词的表示方法并没有考虑语义层面的信息，为了更多地表示词与词之间的语义相似程度，提出词的分布式表示，也就是基于上下文的稠密向量表示法，通常称为词向量或词嵌入（Word_Embedding）。,词向量,知识表示,属性,被定义为,更多地表示词与词之间的语义相似程度，提出词的分布式表示，也就是基于上下文的稠密向量表示法,文本
产生词向量的手段主要有三种：●Count-based。,词向量,知识表示,,包含,产生词向量的手段,知识表示
产生词向量的手段主要有三种：●Count-based。,产生词向量的手段,知识表示,,包含,基于计数的方法,知识表示
基于计数的方法，简单说就是记录文本中词的出现次数。,基于计数的方法,知识表示,属性,英文名,Count-based,文本
基于计数的方法，简单说就是记录文本中词的出现次数。,基于计数的方法,知识表示,属性,被定义为,简单说就是记录文本中词的出现次数。,文本
●Predictive。,产生词向量的手段,知识表示,,包含,基于预测的方法,知识表示
●Predictive。,基于预测的方法,知识表示,属性,英文名,Predictive,文本
基于预测的方法，既可以通过上下文预测中心词，也可以通过中心词预测上下文。,基于预测的方法,知识表示,属性,被定义为,既可以通过上下文预测中心词，也可以通过中心词预测上下文,文本
●Task-based。,产生词向量的手段,知识表示,,包含,基于任务的,知识表示
●Task-based。,基于任务的,知识表示,属性,英文名,Task-based,文本
基于任务的，也就是通过任务驱动的方法。通过对词向量在具体任务上的表现效果对词向量进行学习。,基于任务的,知识表示,属性,被定义为,通过任务驱动的方法；通过对词向量在具体任务上的表现效果对词向量进行学习。,文本
对词向量的产生方法到现在为止有较多的研究，在本章中并不展开讨论，下面简单介绍经典的开源工具word2vec[8]中包含的CBoW和Skip-gram两个模型。,词向量的产生方法,知识图谱项目,,包含,word2vec,知识图谱项目
对词向量的产生方法到现在为止有较多的研究，在本章中并不展开讨论，下面简单介绍经典的开源工具word2vec[8]中包含的CBoW和Skip-gram两个模型。,word2vec,知识图谱项目,,包含,CBoW,知识图谱项目
对词向量的产生方法到现在为止有较多的研究，在本章中并不展开讨论，下面简单介绍经典的开源工具word2vec[8]中包含的CBoW和Skip-gram两个模型。,word3vec,知识图谱项目,,属于,Skip-gram,知识图谱项目
CBoW也就是连续词袋模型（Continuous_Bag-of-Words），和之前提到的BoW相似之处在于该模型也不用考虑词序的信息。,CBoW,知识表示,,等价,连续词袋模型,知识表示
CBoW也就是连续词袋模型（Continuous_Bag-of-Words），和之前提到的BoW相似之处在于该模型也不用考虑词序的信息。,CBoW,知识表示,属性,方法,用上下文预测中心词，从而训练出的词向量包含了一定的上下文信息,文本
将上下文词的独热表示与词向量矩阵E相乘，提取相应的词向量并求和得到投影层，然后再经过一个Softmax层最终得到输出，输出的每一维表达的就是词表中每个词作为该上下文的中心词的概率。,词向量矩阵E,知识表示,,属于,投影层,知识表示
Skip-gram的思想与CBoW恰恰相反，其考虑用中心词来预测上下文词。,Skip-gram,知识表示,属性,方法,用中心词来预测上下文词,文本
把这种将知识图谱中包括实体和关系的内容映射到连续向量空间方法的研究领域称为知识图谱嵌入（Knowledge_Graph（Representation_Learning）、知识表示学习。,知识图谱嵌入,知识表示,属性,被定义为,将知识图谱中包括实体和关系的内容映射到连续向量空间方法,文本
把这种将知识图谱中包括实体和关系的内容映射到连续向量空间方法的研究领域称为知识图谱嵌入（Knowledge_Graph（Representation_Learning）、知识表示学习。,知识图谱嵌入,知识表示,,等价,知识表示学习,知识表示
把这种将知识图谱中包括实体和关系的内容映射到连续向量空间方法的研究领域称为知识图谱嵌入（Knowledge_Graph（Representation_Learning）、知识表示学习。,知识表示学习,知识表示,属性,被定义为,将知识图谱中包括实体和关系的内容映射到连续向量空间方法,文本
把这种将知识图谱中包括实体和关系的内容映射到连续向量空间方法的研究领域称为知识图谱嵌入（Knowledge_Graph（Representation_Learning）、知识表示学习。,知识图谱嵌入,知识表示,属性,英文名,Knowledge_Graph_Embedding,文本
把这种将知识图谱中包括实体和关系的内容映射到连续向量空间方法的研究领域称为知识图谱嵌入（Knowledge_Graph（Representation_Learning）、知识表示学习。,知识表示学习,知识表示,属性,英文名,Representation_Learning,文本
把这种将知识图谱中包括实体和关系的内容映射到连续向量空间方法的研究领域称为知识图谱嵌入（Knowledge_Graph（Representation_Learning）、知识表示学习。,知识图谱嵌入,知识表示,,等价,知识图谱的向量表示,知识表示
把这种将知识图谱中包括实体和关系的内容映射到连续向量空间方法的研究领域称为知识图谱嵌入（Knowledge_Graph（Representation_Learning）、知识表示学习。,知识图谱的向量表示,知识表示,属性,被定义为,将知识图谱中包括实体和关系的内容映射到连续向量空间方法,文本
Embedding）、知识图谱的向量表示、知识图谱的表示学习类似于词向量，知识图谱嵌入也是通过机器学习的方法对模型进行学习，与独热编码、词袋模型的最大区别在于，知识图谱嵌入方法的训练需要基于监督学习。,知识图谱嵌入,知识表示,属性,方法,基于监督学习,文本
,知识图谱嵌入,知识表示,,包含,知识图谱嵌入模型,知识表示
"类似于词向量，经典的知识图谱嵌入模型TransE的设计思想就是，如果一个三元组（h,r,t）成立，那么它们需要符合h+r≈t关系，例如：vec（Rome）+vec（is?capital?of）≈vec（Italy）所以，在知识图谱嵌入的学习过程中，不同的模型从不同的角度把相应的语义信息嵌入知识图谱的向量表示中，如图2-23所示。",知识图谱嵌入模型,知识表示,,包含,TransE,知识表示
"类似于词向量，经典的知识图谱嵌入模型TransE的设计思想就是，如果一个三元组（h,r,t）成立，那么它们需要符合h+r≈t关系，例如：vec（Rome）+vec（is?capital?of）≈vec（Italy）所以，在知识图谱嵌入的学习过程中，不同的模型从不同的角度把相应的语义信息嵌入知识图谱的向量表示中，如图2-23所示。",TransE,知识表示,属性,方法,"如果一个三元组（h,r,t）成立，那么它们需要符合h+r≈t关系",文本
如上所述，知识图谱的嵌入方法可以提高计算的效率，增加下游应用的多样性，并可以作为预训练，为下游模型提供语义支持，所以对其展开的研究具有很大的应用价值和前景。,知识图谱的嵌入,知识表示,属性,特点,提高计算的效率，增加下游应用的多样性，并可以作为预训练，为下游模型提供语义支持,文本
1.转移距离模型转移距离模型（Translational_Distance_Model）的主要思想是将衡量向量化后的知识图谱中三元组的合理性问题，转化成衡量头实体和尾实体的距离问题。,转移距离模型,知识表示,属性,被定义为,衡量向量化后的知识图谱中三元组的合理性问题，转化成衡量头实体和尾实体的距离问题,文本
1.转移距离模型转移距离模型（Translational_Distance_Model）的主要思想是将衡量向量化后的知识图谱中三元组的合理性问题，转化成衡量头实体和尾实体的距离问题。,转移距离模型,知识表示,,属于,知识图谱嵌入的方法,知识表示
,转移距离模型,知识表示,,包含,TransE,知识表示
2.语义匹配模型相比于转移距离模型，语义匹配模型（Semantic_Matching_Models），更注重挖掘向量化后的实体和关系的潜在语义。,语义匹配模型,知识表示,属性,被定义为,挖掘向量化后的实体和关系的潜在语义,文本
2.语义匹配模型相比于转移距离模型，语义匹配模型（Semantic_Matching_Models），更注重挖掘向量化后的实体和关系的潜在语义。,语义匹配模型,知识表示,,属于,知识图谱嵌入的方法,知识表示
该方向的模型主要是RESCAL[13]以及它的延伸模型。,语义匹配模型,知识表示,,包含,RESCAL,知识表示
RESCAL模型的核心思想是将整个知识图谱编码为一个三维张量，由这个张量分解出一个核心张量和一个因子矩阵，核心张量中每个二维矩阵切片代表一种关系，因子矩阵中每一行代表一个实体。,RESCAL,知识表示,属性,方法,将整个知识图谱编码为一个三维张量，由这个张量分解出一个核心张量和一个因子矩阵，核心张量中每个二维矩阵切片代表一种关系，因子矩阵中每一行代表一个实体。由核心张量和因子矩阵还原的结果被看作对应三元组成立的概率，如果概率大于某个阈值，则对应三元组正确；否则不正确。,文本
ComplEx[15]模型考虑到复数的乘法不满足交换律，所以在该模型中实体和关系的向量表示不再依赖实数而是放在了复数域，从而其得分函数不具有对称性。,ComplEx,知识表示,,属于,语义匹配模型,知识表示
ComplEx[15]模型考虑到复数的乘法不满足交换律，所以在该模型中实体和关系的向量表示不再依赖实数而是放在了复数域，从而其得分函数不具有对称性。也就是说，对于非对称的关系，将三元组中的头实体和尾实体调换位置后可以得到不同的分数。,ComplEx,知识表示,属性,方法,考虑到复数的乘法不满足交换律，所以在该模型中实体和关系的向量表示不再依赖实数而是放在了复数域，从而其得分函数不具有对称性。也就是说，对于非对称的关系，将三元组中的头实体和尾实体调换位置后可以得到不同的分数。,文本
3.考虑附加信息的模型除了仅仅依靠知识库中的三元组构造知识图谱嵌入的模型，还有一些模型考虑额外的附加信息进行提升。,考虑附加信息的模型,知识表示,属性,方法,考虑额外的附加信息进行提升,文本
3.考虑附加信息的模型除了仅仅依靠知识库中的三元组构造知识图谱嵌入的模型，还有一些模型考虑额外的附加信息进行提升。,考虑附加信息的模型,知识表示,,属于,知识图谱嵌入的方法,知识表示
实体类型是一种容易考虑的额外信息。,考虑附加信息的模型,知识表示,,包含,额外信息,知识表示
实体类型是一种容易考虑的额外信息。,额外信息,知识表示,,包含,实体类型,知识表示
"关系路径也可以称为实体之间的多跳关系（Multi-hop_Relationships），一般就是指可以连接两个实体的关系链，例如（Rome,is?capital?of,Italy）（Italy,is?country?of,Europe）.从Rome到Europe的关系路径就是一条is?capital?of→is?country?of关系链。",额外信息,知识表示,,包含,关系路径,知识表示
"关系路径也可以称为实体之间的多跳关系（Multi-hop_Relationships），一般就是指可以连接两个实体的关系链，例如（Rome,is?capital?of,Italy）（Italy,is?country?of,Europe）.从Rome到Europe的关系路径就是一条is?capital?of→is?country?of关系链。",关系路径,知识表示,,等价,实体之间的多跳关系,知识表示
"关系路径也可以称为实体之间的多跳关系（Multi-hop_Relationships），一般就是指可以连接两个实体的关系链，例如（Rome,is?capital?of,Italy）（Italy,is?country?of,Europe）.从Rome到Europe的关系路径就是一条is?capital?of→is?country?of关系链。",关系路径,知识表示,属性,被定义为,可以连接两个实体的关系链,文本
"关系路径也可以称为实体之间的多跳关系（Multi-hop_Relationships），一般就是指可以连接两个实体的关系链，例如（Rome,is?capital?of,Italy）（Italy,is?country?of,Europe）.从Rome到Europe的关系路径就是一条is?capital?of→is?country?of关系链。",实体之间的多跳关系,知识表示,属性,英文名,实体之间的多跳关系,文本
文本描述（Textual_Descriptions）指的是在一些知识图谱中，对实体有一些简要的文本描述，如图2-24所示，这些描述本身具有一定的语义信息，对提高嵌入的质量有一定的提升。,文本描述,知识表示,属性,被定义为,对实体有一些简要的文本描述,文本
文本描述（Textual_Descriptions）指的是在一些知识图谱中，对实体有一些简要的文本描述，如图2-24所示，这些描述本身具有一定的语义信息，对提高嵌入的质量有一定的提升。,额外信息,知识表示,,包含,文本描述,知识表示
"图2-24文本描述示例逻辑规则（Logical_Rules）也是常被用来考虑的附加信息，这里讨论的重点主要是霍恩子句，例如简单规则?x,y:IsDirectorOf（x,y）?BeDirectedBy（y,x）说明了两个不同的关系之间的关系。",额外信息,知识表示,,包含,逻辑规则,知识表示
"图2-24文本描述示例逻辑规则（Logical_Rules）也是常被用来考虑的附加信息，这里讨论的重点主要是霍恩子句，例如简单规则?x,y:IsDirectorOf（x,y）?BeDirectedBy（y,x）说明了两个不同的关系之间的关系。",逻辑规则,知识表示,属性,英文名,Logical_Rules,文本
"图2-24文本描述示例逻辑规则（Logical_Rules）也是常被用来考虑的附加信息，这里讨论的重点主要是霍恩子句，例如简单规则?x,y:IsDirectorOf（x,y）?BeDirectedBy（y,x）说明了两个不同的关系之间的关系。",逻辑规则,知识表示,属性,内容,讨论的重点主要是霍恩子句,文本
1.链接预测链接预测（Link_Prediction）指通过一个已知的实体和关系预测另一个实体，或者通过两个实体预测关系。,知识图谱嵌入应用,知识表示,,包含,链接预测,知识表示
2.链接预测链接预测（Link_Prediction）指通过一个已知的实体和关系预测另一个实体，或者通过两个实体预测关系。,链接预测,知识表示,属性,英文名,Link_Prediction,文本
1.链接预测链接预测（Link_Prediction）指通过一个已知的实体和关系预测另一个实体，或者通过两个实体预测关系。,链接预测,知识表示,属性,被定义为,通过一个已知的实体和关系预测另一个实体，或者通过两个实体预测关系,文本
,链接预测,知识表示,属性,方法,将知识图谱中的每个实体都放在对应的位置上，并且放入相应的知识图谱嵌入模型的得分函数中，计算该三元组的合理性，得分最高的实体会被作为链接预测的结果。,文本
链接预测也常被用于评测知识图谱嵌入。,链接预测,知识表示,属性,作用,评测知识图谱嵌入,知识表示
一般来说，会用链接预测的正确答案的排序评估某种嵌入模型在链接预测上的能力，比较常见的参数有平均等级（Mean_Rank）、平均倒数等级（Mean_Reciprocal_Rank）和命中前n（Hist@n）。,评测知识图谱嵌入,知识表示,,包含,平均等级,知识表示
一般来说，会用链接预测的正确答案的排序评估某种嵌入模型在链接预测上的能力，比较常见的参数有平均等级（Mean_Rank）、平均倒数等级（Mean_Reciprocal_Rank）和命中前n（Hist@n）。,评测知识图谱嵌入,知识表示,,包含,平均倒数等级,知识表示
一般来说，会用链接预测的正确答案的排序评估某种嵌入模型在链接预测上的能力，比较常见的参数有平均等级（Mean_Rank）、平均倒数等级（Mean_Reciprocal_Rank）和命中前n（Hist@n）。,平均等级,知识表示,属性,英文名,Mean_Rank,文本
一般来说，会用链接预测的正确答案的排序评估某种嵌入模型在链接预测上的能力，比较常见的参数有平均等级（Mean_Rank）、平均倒数等级（Mean_Reciprocal_Rank）和命中前n（Hist@n）。,平均倒数等级,知识表示,属性,英文名,Mean_Reciprocal_Rank,文本
一般来说，会用链接预测的正确答案的排序评估某种嵌入模型在链接预测上的能力，比较常见的参数有平均等级（Mean_Rank）、平均倒数等级（Mean_Reciprocal_Rank）和命中前n（Hist@n）。,命中前n,知识表示,属性,英文名,Hist@n,文本
