input,subject,relation,object
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。,结构化数据中会存在一些复杂关系,被定义为,针对这类关系的抽取
包装器的定义、自动生成以及如何对包装器进行更新及维护以应对网站的变更，是当前获取需要考虑的问题；非结构化数据抽取难度最大，如何保证抽取的准确率和覆盖率是这类数据进行知识获取需要考虑的科学问题。,非结构化数据抽取,被定义为,保证抽取的准确率和覆盖率
9.1.4知识融合知识融合指将不同来源的知识进行对齐、合并的工作，形成全局统一的知识标识和关联。,知识融合,被定义为,将不同来源的知识进行对齐、合并的工作，形成全局统一的知识标识和关联
知识融合是知识图谱构建中不可缺少的一环，知识融合体现了开放链接数据中互联的思想。,知识融合,被定义为,开放链接数据中互联的思想
良好的融合方法能有效地避免信息孤岛，使得知识的连接更加稠密，提升知识应用价值，因此知识融合是构建知识图谱过程中的核心工作与重点研究方向。,知识融合,被定义为,构建知识图谱过程中的核心工作与重点研究方向
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。,数据模式层的融合,被定义为,概念合并、概念上下位关系合并以及概念的属性定义合并
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。,数据层的融合,被定义为,实体合并、实体属性融合以及冲突检测与解决
9.1.5知识计算知识计算是领域知识图谱能力输出的主要方式，通过知识图谱本身能力为传统的应用形态赋能，提升服务质量和效率。,知识计算,被定义为,领域知识图谱能力为传统的应用形态赋能，提升服务质量和效率。
图计算能力可辅助传统的推荐、搜索类应用。,图计算能力,被定义为,辅助传统的推荐、搜索类应用
知识图谱中的图算法一般包括图遍历、最短路径、权威节点分析、族群发现最大流算法、相似节点等，大规模图上的算法效率是图算法设计与实现的主要问题。,图算法,被定义为,图上算法的效率
其中，语义搜索是指基于知识图谱中的知识，解决传统搜索中遇到的关键字语义多样性及语义消歧的难题，通过实体链接实现知识与文档的混合检索。,语义搜索,被定义为,基于知识图谱中的知识，解决传统搜索中遇到的关键字语义多样性及语义消歧的难题，通过实体链接实现知识与文档的混合检索
可视化决策支持则指通过提供统一的图形接口，结合可视化、推理、检索等，为用户提供信息获取的入口。,可视化决策支持,被定义为,通过提供统一的图形接口，结合可视化、推理、检索等，为用户提供信息获取的入口
关于知识图谱的搜索及问答技术，请参考本书的第7章和第8章。,知识图谱的搜索及问答技术,源于,本书的第7章和第8章
9.2.1自顶向下的构建方法针对特定的行业内有固定知识体系或由该行业专家梳理后可定义模式的数据，大多采用自顶向下的方式构建。,自顶向下的构建方法,被定义为,特定的行业内有固定知识体系或由该行业专家梳理后可定义模式的数据采用自顶向下的方式构建
Protégé[2]是一套基于RDF（S）、OWL等语义网规范的开源本体编辑器，拥有图形化界面，适用于原型构建场景。,Protégé,被定义为,一套基于RDF（S）、OWL等语义网规范的开源本体编辑器
该软件提供了本体概念类、关系、属性和实例的定义和编辑，屏蔽了具体的本体描述语言，用户只需在概念层次上进行领域本体模型的构建，使得建模更加便捷。,本体概念类,被定义为,概念层次的领域本体模型的构建
在这些方面，工业界均做了不同角度的尝试，如DBpedia_Mapping[4]采用属性映射的方式进行知识融合。,知识融合,被定义为,属性映射的方式进行知识融合。
常用的开源D2R工具有D2RQ[5]、D2R_Server[6]、DB2triples[7]等。,D2RQ,被定义为,一个用于将RDF数据转换为D2R的查询的查询语言
第二种是使用包装器，该方法主要针对半结构化数据，通过使用构建面向站点的包装器解析特定网页、标记语言文本。,面向站点的包装器,被定义为,通过使用构建面向站点的包装器解析特定网页、标记语言文本
包装器通常需要根据目标数据源编写特定的程序，因此学者们的研究主要集中于包装器的自动生成。,包装器,被定义为,根据目标数据源编写特定的程序
典型的工具有ReVerb[8]、TextRunner[9]等。,典型的工具,被定义为,ReVerb
典型的工具有ReVerb[8]、TextRunner[9]等。,典型的工具,被定义为,TextRunner
CloseIE面向特定领域抽取信息，因其基于领域专业知识进行抽取，可以预先定义好抽取的关系类型，且通常规模小、精度较高。,CloseIE,被定义为,基于领域专业知识进行抽取
9.2.2自底向上的构建方法在领域中部分没有完整知识体系的数据需要采用自底向上的方法进行构建，这与通用知识图谱的构建方法类似，主要依赖开放链接数据集和百科，从这些结构化的知识中进行自动学习，主要分为实体与概念的学习、上下位关系的学习、数据模式的学习。,自底向上的构建方法,被定义为,在领域中部分没有完整知识体系的数据需要采用自底向上的方法进行构建
开放链接数据集和百科中拥有丰富的实体和概念信息，数据通常以一定的结构组织生成，因此从这类数据源中抽取概念和实体较为容易。,开放链接数据集,被定义为,从这类数据源中抽取概念和实体较为容易
由于百科的分类体系都是经过了百科管理员或是高级编辑人员的校验，其分类系统中的数据可靠性非常高，因此从百科中抽取概念和实体，通常将标题作为实体的候选，而将百科中的分类系统直接作为概念的候选。,百科的分类体系,被定义为,百科中的分类系统
实体对齐的目标是将从不同百科中学习到的、描述同一目标的实体或概念进行合并，再将合并后的实体集与开放链接数据集中抽取的实体进行合并。,实体对齐,被定义为,将从不同百科中学习到的、描述同一目标的实体或概念进行合并，再将合并后的实体集与开放链接数据集中抽取的实体进行合并
实体对齐过程主要分为六步：●从开放链接数据集中抽取同义关系。,实体对齐过程,被定义为,从开放链接数据集中抽取同义关系
数据模式的学习又称为概念的属性学习，一个属性的定义包含三个部分：属性名、属性的定义域、属性的值域。,属性的定义,被定义为,属性名、属性的定义域、属性的值域
但概念的属性被定义好，属于该属性的实体则默认具备此属性，填充属性的值即可。,概念的属性,被定义为,属于该属性的实体则默认具备此属性，填充属性的值即可。
概念属性的变更会直接影响到它的实体、其子概念以及这些概念下的实体。,概念属性的变更,被定义为,影响它的实体、其子概念以及这些概念下的实体
此外，面向不同的消费者和细分市场，不同角色、不同市场、不同平台对商品描述的侧重都不同，使得对同一个实体描述时会有不同的定义。,面向不同的消费者和细分市场,被定义为,对同一个实体描述时会有不同的定义
目前共涉及9大类一级本体和27大类二级本体。,9大类一级本体,被定义为,共涉及
例如，在食品的标签生成中，知识推理通过食品的配料表数据和国家行业标准，如：●无糖：碳水化合物含量小于或等于0.5g/100g（固体）或0.5g/100mL（液体）；●无盐：钠含量小于或等于5mg/100g或5mg/100mL。,知识推理,被定义为,通过食品的配料表数据和国家行业标准
大规模层次分类需要把目标商品或产品归到上千个商品1级和2级类目中去。,大规模层次分类,被定义为,把目标商品或产品归到上千个商品1级和2级类目中去
大规模实体链指的核心是通过知识图谱的候选实体排序，把新的实体与知识图谱目标识别进行关联，从而把新知识融入知识图谱。,大规模实体链指,被定义为,通过知识图谱的候选实体排序，把新的实体与知识图谱目标识别进行关联，从而把新知识融入知识图谱
而所谓导购，就是让消费者更容易找到他们想要的东西，例如说买家输入“我需要一件漂亮的真丝丝巾”，商品大脑会通过语法词法分析来提取语义要点“一”“漂亮”“真丝”“丝巾”这些关键词，从而帮买家搜索到合适的商品。,导购,被定义为,让消费者更容易找到他们想要的东西
例如，上下位和等价推理，检索父类时，通过上下位推理把子类的对象召回，同时利用等价推理（实体的同义词、变异词、同款模型等）扩大召回。,上下位推理,被定义为,通过上下位推理把子类的对象召回
例如，上下位和等价推理，检索父类时，通过上下位推理把子类的对象召回，同时利用等价推理（实体的同义词、变异词、同款模型等）扩大召回。,等价推理,被定义为,检索父类时，通过等价推理（实体的同义词、变异词、同款模型等）扩大召回
以拦截“产地为某核污染区域的食品”为例，推理引擎翻译为“找到产地为该区域，且属性项与‘产地’同义，属性值是该区域下位实体的食品，以及与命中的食品是同款的食品”。,推理引擎,被定义为,找到产地为该区域，且属性项与‘产地’同义，属性值是该区域下位实体的食品，以及与命中的食品是同款的食品
9.3.2图情知识图谱的构建与应用[12]图情知识图谱是指聚焦某一特定细分行业，以整合行业内图情资源为目标的知识图谱。,图情知识图谱,被定义为,聚焦某一特定细分行业，以整合行业内图情资源为目标的知识图谱
英国的大英博物馆通过结合语义技术对馆藏品各类数据资源进行语义组织，通过语义细化、多媒体资源标注等方式提供多样化的知识服务形式[13]；英国广播公司BBC[20]在其音乐、体育野生动物等板块定义了知识本体，将新/XML、JSON和XML）进行内容管理与自动生成报闻转化为机器可读的信息源（RDF道。,大英博物馆,被定义为,语义组织
第一类是知网、专利局等文献类网站，第二类是开放通用数据，包括百科类网站以及DBpedia等的开放链接数据集，第三类是行业垂直的新闻门户，第四类是行业内企业和科研机构内部积累的既有数据。,开放链接数据集,被定义为,开放通用数据
通过实现基本图论算法来辅助进行各类业务分析。,SPO,被定义为,图论算法辅助业务分析
图9-5大英博馆院语义搜索知识标引指的是根据构建完成的图情知识图谱，对新闻、文献等文本的内容进行知识标注的过程。,知识标引,被定义为,根据构建完成的图情知识图谱，对新闻、文献等文本的内容进行知识标注的过程
知识标引既是图谱构建过程中的重要工作，又是图谱应用的一种形态，可以依托标引技术打造在线的阅读工具，或者集成Office、PDF_reader等文档类应用，提供知识卡片、知识推荐等服务，辅助终端用户阅读，如图9-6所示。,知识标引,被定义为,依托标引技术打造在线的阅读工具，或者集成Office、PDF_reader等文档类应用，提供知识卡片、知识推荐等服务，辅助终端用户阅读
可以对关联参数，如步长、过滤条件等，以及可视化的形态，如节点颜色、大小、距离等进行定制，从而为可视化决策支持赋予不同的业务含义。,可视化决策支持,被定义为,为可视化决策支持赋予不同的业务含义
深度学习技术在语音、图像领域均取得了突破性的进展。,深度学习技术,被定义为,人工智能技术中一个重要的分支
认知智能需要机器具备推理和抽象能力，需要模型能够利用先验知识，总结出人可理解、模型可复用的知识。,认知智能,被定义为,推理和抽象能力
认知智能需要机器具备推理和抽象能力，需要模型能够利用先验知识，总结出人可理解、模型可复用的知识。,认知智能,被定义为,模型可复用的知识
知识图谱可以组织现实世界中的知识，描述客观概念、实体、关系。,知识图谱,被定义为,组织现实世界中的知识，描述客观概念、实体、关系
这种基于符号语义的计算模型，一方面可以促成人和机器的有效沟通，另一方面可以为深度学习模型提供先验知识，将机器学习结果转化为可复用的符号知识并累积起来。,基于符号语义的计算模型,被定义为,人机器的有效沟通
这种基于符号语义的计算模型，一方面可以促成人和机器的有效沟通，另一方面可以为深度学习模型提供先验知识，将机器学习结果转化为可复用的符号知识并累积起来。,基于符号语义的计算模型,被定义为,为深度学习模型提供先验知识
作为人工智能时代最重要的知识表示方式之一，知识图谱能够打破不同场景下的数据隔离，为搜索、推荐、问答、解释与决策等应用提供基础支撑。,知识图谱,被定义为,打破不同场景下的数据隔离，为搜索、推荐、问答、解释与决策等应用提供基础支撑
挖掘商户标签，需要先通过机器对用户评论进行阅读，这里采用了无监督模型与有监督的深度学习模型相结合的方式。,挖掘商户标签,被定义为,无监督模型与有监督的深度学习模型相结合的方式
无监督模型采用了LDA，其特点是成本比较低，无须标注数据。,无监督模型,被定义为,LDA
举例来说，如果某商户的用户评价都围绕着宝宝椅、带娃吃饭、儿童套餐等话题，就可以得出很多关于这家商户的标签，如图9-9所示。,标签,被定义为,根据用户评价中话题而得出的很多关于这家商户的标签
图9-11情感挖掘示意图2.美团“知识大脑”业务应用依托深度学习模型，美团大脑充分挖掘、关联美团点评各个业务场景公开数据（如用户评价、菜品、标签等），构建餐饮娱乐“知识大脑”，并且已经开始在美团的不同业务中落地，利用人工智能技术全面提升用户的生活体验。,知识大脑,被定义为,美团“知识大脑”业务应用依托深度学习模型，美团大脑充分挖掘、关联美团点评各个业务场景公开数据（如用户评价、菜品、标签等），构建餐饮娱乐“知识大脑”
（1）智能搜索：帮助用户做决策。,智能搜索,被定义为,帮助用户做决策
在消费用户群体分析上，美团大脑不仅能够告诉店老板顾客的年龄层、性别分布，还可以推理出顾客的消费水平，对于就餐环境的偏好，适合他们的推荐菜，让店老板有针对性地调整价格、更新菜品、优化就餐环境。,美团大脑,被定义为,消费用户群体分析
企业商业知识图谱包含企业、人物、专利等实体类型，以及任职、股权、专利所属权等关系类型，以完善企业及个人画像，助力企业潜在客户获取、客户背景调查、多层次研究报告、风险管控；辅助发现不良资产、企业风险、非法集资等。,企业商业知识图谱,被定义为,完善企业及个人画像，助力企业潜在客户获取、客户背景调查、多层次研究报告、风险管控；辅助发现不良资产、企业风险、非法集资
构建企业商业知识图谱，通常从相应网站中抽取企业信息、人物形象、诉讼信息以及信用信息，再添加上市公司、股票等概念和相应属性。,构建企业商业知识图谱,被定义为,从相应网站中抽取企业信息、人物形象、诉讼信息以及信用信息，再添加上市公司、股票等概念和相应属性
这些信息存在于信息框、列表、表格等半结构化数据以及无结构的纯文本中。,信息框,被定义为,半结构化数据以及无结构的纯文本
图9-13企业商业知识图谱企业商业知识图谱数据源主要包含两大类：1）半结构化的网页数据，其中包括全国企业信用信息公示系统、中国裁判文书网、中国执行信息公开网、国家知识产权局、商标局、版权局等。,企业商业知识图谱数据源,被定义为,半结构化的网页数据
因此，公司和人物两类实体是企业知识图谱融合的主要目标。,公司和人物,被定义为,企业知识图谱融合的主要目标
公司的融合推荐基于公司名的全称进行链接，人物实例的融合推荐使用基于启发式规则进行集成。,融合推荐,被定义为,基于公司名的全称进行链接
公司的融合推荐基于公司名的全称进行链接，人物实例的融合推荐使用基于启发式规则进行集成。,融合推荐,被定义为,基于启发式规则进行集成
异常关联挖掘是通过路径分析、关联探索等操作，挖掘目标企业谱系中的异常关联。,异常关联挖掘,被定义为,通过路径分析、关联探索等操作，挖掘目标企业谱系中的异常关联
图9-14异常关联挖掘最终控制人分析是基于股权投资关系寻找持股比例最大的股东，最终追溯至自然人或国有资产管理部门，如图9-15所示。,最终控制人分析,被定义为,基于股权投资关系寻找持股比例最大的股东，最终追溯至自然人或国有资产管理部门
图9-17典型的创投Schema创投数据主要来源于虎嗅、IT桔子、36Kr等科技型媒体网站。,创投数据,被定义为,来源于虎嗅、IT桔子、36Kr等科技型媒体网站
IT桔子是结构化的公司数据库和商业信息服务提供商，以融资事件为核心，关注IT互联网行业，其中包含了各类结构化的投资机构库和融资信息。,IT桔子,被定义为,结构化的公司数据库和商业信息服务提供商
对于融资事件来说，虽然它不是客观世界中一个具体的事物，但它包含了丰富的属性信息，如融资时间、融资轮次、融资额等。,融资事件,被定义为,包含了丰富的属性信息
因此比较适合单独引入一类节点来进行存储和表示。,SPO,被定义为,一类节点来进行存储和表示
其中，语义搜索提供自然语言式的搜索方式，由机器完成用户搜索意图识别，如图9-18所示为语义搜索示例。,语义搜索,被定义为,自然语言式的搜索方式，由机器完成用户搜索意图识别
通过节点探索、路径发现、关联探寻等可视化分析技术，展示公司的全方位信息；通过知识地图、时序图谱等形态，对地理分布、发展趋势等进行解读，为投融资决策提供支持。,SPO,被定义为,可视化分析技术展示公司的全方位信息；通过知识地图、时序图谱等形态，对地理分布、发展趋势等进行解读
知识图谱为中医临床知识体系的系统梳理和深度挖掘提供了新颖的方法，有助于实现中医临床知识的关联、整合与可视化，促进中医临床研究，辅助中医临床决策。,知识图谱,被定义为,中医临床知识体系的系统梳理和深度挖掘
中医临床知识是解决中医临床实际过程中特定问题的结合，主要包括：看创指南、名医经验、临床术语、古籍和期刊文献资源（包括RCT文献质量评价结果）、中药方剂等。,中医临床知识,被定义为,解决中医临床实际过程中特定问题的结合
"例如，中医临床术语系统（Traditional_Chinese_Medicine_Clinical_Terminology_System,TCMCTS）就是一个专门面向中医临床的大型语义网络，共收录约11万个概念、27万个术语以及100多万条语义关系。",TCMCTS,被定义为,一个专门面向中医临床的大型语义网络
中医医案是中医临床思维活动和辨证论治过程的记录，是中医理法方药综合应用的具体反映形式[29]。,中医医案,被定义为,中医临床思维活动和辨证论治过程的记录，是中医理法方药综合应用的具体反映形式
从医案知识向知识图谱的转换过程，实质上是一个知识抽象和归纳的过程。,从医案知识向知识图谱的转换过程,被定义为,知识抽象和归纳的过程
在最高层则是问题求解和过程控制所需的“策略性知识”（通常用规则、过程等表示），它们是临床决策支持系统的基础。,策略性知识,被定义为,问题求解和过程控制所需的“策略性知识”（通常用规则、过程等表示）
知识图谱是在“大数据”时代背景下出现的一项新颖的知识管理技术。,知识图谱,被定义为,“大数据”时代背景下出现的一项新颖的知识管理技术
大数据通过识别有用的关联关系来分析一个现象，而不是揭示其内部的运作机制。,大数据,被定义为,识别有用的关联关系来分析一个现象
9.3.7金融证券行业知识图谱应用实践[30]金融证券行业正面临着数据爆炸的问题。,金融证券行业知识图谱应用实践,源于,金融证券行业正面临着数据爆炸的问题
如何有效地使用这些数据，需要用户具备专业的金融经济知识，深刻理解某个数据的变动可能引发的关联、传导效应，从而帮助用户做出各种投资决策。,SPO,被定义为,有效使用数据的方法
领域知识建模在方法论上的正确性，是决定人工智能应用成功与否的关键因素。,领域知识建模,被定义为,在方法论上的正确性，是决定人工智能应用成功与否的关键因素
基于知识图谱的领域建模、基于规模化大数据的处理能力、针对半结构化标签型数据的分析预测算法三者的结合，是人工智能的优势所在。,人工智能的优势所在,被定义为,基于知识图谱的领域建模、基于规模化大数据的处理能力、针对半结构化标签型数据的分析预测算法
金融领域本就是连接各行各业、世间万物的，因此金融知识图谱涉及经济、投资、产业、公司等相关的知识，其实是覆盖全行业的。,金融知识图谱,被定义为,覆盖全行业的
但金融领域知识图谱与通用或百科类知识图谱不同，其行业、产业链知识，经济金融重要指标等大多是以投资的视角来筛选和组织的。,金融领域知识图谱,被定义为,以投资的视角来筛选和组织的
实体间的关系，如公司-人之间，主要有股权关系和任职关系；公司-公司间关系，有股权关系、供应商关系、竞争关系等；公司-产品间关系，有生产关系、采购关系等；产品-产品间关系，主要有上下游关系等。,实体间的关系,被定义为,股权关系
实体间的关系，如公司-人之间，主要有股权关系和任职关系；公司-公司间关系，有股权关系、供应商关系、竞争关系等；公司-产品间关系，有生产关系、采购关系等；产品-产品间关系，主要有上下游关系等。,实体间的关系,被定义为,任职关系
实体间的关系，如公司-人之间，主要有股权关系和任职关系；公司-公司间关系，有股权关系、供应商关系、竞争关系等；公司-产品间关系，有生产关系、采购关系等；产品-产品间关系，主要有上下游关系等。,公司-公司间关系,被定义为,股权关系
实体间的关系，如公司-人之间，主要有股权关系和任职关系；公司-公司间关系，有股权关系、供应商关系、竞争关系等；公司-产品间关系，有生产关系、采购关系等；产品-产品间关系，主要有上下游关系等。,公司-公司间关系,被定义为,供应商关系
实体间的关系，如公司-人之间，主要有股权关系和任职关系；公司-公司间关系，有股权关系、供应商关系、竞争关系等；公司-产品间关系，有生产关系、采购关系等；产品-产品间关系，主要有上下游关系等。,公司-公司间关系,被定义为,竞争关系
实体间的关系，如公司-人之间，主要有股权关系和任职关系；公司-公司间关系，有股权关系、供应商关系、竞争关系等；公司-产品间关系，有生产关系、采购关系等；产品-产品间关系，主要有上下游关系等。,公司-产品间关系,被定义为,生产关系
实体间的关系，如公司-人之间，主要有股权关系和任职关系；公司-公司间关系，有股权关系、供应商关系、竞争关系等；公司-产品间关系，有生产关系、采购关系等；产品-产品间关系，主要有上下游关系等。,公司-产品间关系,被定义为,采购关系
实体间的关系，如公司-人之间，主要有股权关系和任职关系；公司-公司间关系，有股权关系、供应商关系、竞争关系等；公司-产品间关系，有生产关系、采购关系等；产品-产品间关系，主要有上下游关系等。,产品-产品间关系,被定义为,上下游关系
金融知识图谱的建立可以分为以下三个部分：从海量异构非结构化数据中辨别金融实体；定义并挖掘金融实体之间的各种关系，从而生成知识图谱；定义并表达业务逻辑，在知识图谱上实现各种具体任务，如推理等。,金融知识图谱的建立,被定义为,从海量异构非结构化数据中辨别金融实体；定义并挖掘金融实体之间的各种关系，从而生成知识图谱；定义并表达业务逻辑，在知识图谱上实现各种具体任务，如推理等。
本书对构建过程中主要用的关键技术进行简单的梳理：1.实体-关系抽取从海量异构非结构化数据中辨别金融实体，主要采用实体-关系抽取技术，即从文本中抽取出特定的实体信息，如时间、人物、地点、公司、产品等；以及实体间的各种关系，如地理位置关系、雇佣关系、股权关系等。,实体-关系抽取,被定义为,从文本中抽取出特定的实体信息，如时间、人物、地点、公司、产品等；以及实体间的各种关系，如地理位置关系、雇佣关系、股权关系等
机器学习方法需要构造特征向量形式的训练数据，然后使用各种机器学习算法，如支持向量机等作为学习机构造分类器。,构造特征向量形式的训练数据,被定义为,机器学习方法
这种方法被称作基于特征向量的学习算法。,基于特征向量的学习算法,被定义为,基于向量的学习算法
这类规范化数据源降低了信息提取的难度，大大提高了知识提取的准确度和效率。,规范化数据源,被定义为,降低信息提取的难度，大大提高了知识提取的准确度和效率
基于通用知识图谱的推理沿边的传递性并不强，例如精准搜索常常只用到一步到二步的推理，再往下传递时，其可信程度将会大大降低。,推理沿边的传递性,被定义为,基于通用知识图谱的推理沿边的传递性并不强
从传统的关系数据库到NoSQL，再到图数据库；不论是采用一种数据库还是多种数据库相结合的方式，都是研发领域知识图谱前需要反复斟酌和考虑的问题。,关系数据库,被定义为,研发领域知识图谱
基于金融证券知识图谱可在多个智能金融应用场景中得到应用，这些应用场景包括：智能投研、智能投顾、智能风控、智能客服、智能监管、智能运营等。,智能金融应用场景,被定义为,基于金融证券知识图谱
当产业链中重要节点的状态发生变化时，将启动沿产业链传导推理引擎，自动给出影响范围、对象和程度，为事件引发的基本面分析做支持。,沿产业链传导推理引擎,被定义为,当产业链中重要节点的状态发生变化时，将启动沿产业链传导推理引擎，自动给出影响范围、对象和程度，为事件引发的基本面分析做支持。
不同于技术分析，基本面分析本身是一个非结构化的方式，无论是数据，还是市场逻辑。,基本面分析,被定义为,非结构化的方式
它是通过大数据、机器学习技术分析用户行为数据后，进行用户画像，并进行信用评估和风险评估。,用户画像,被定义为,通过大数据、机器学习技术分析用户行为数据后，进行用户画像
它是通过大数据、机器学习技术分析用户行为数据后，进行用户画像，并进行信用评估和风险评估。,信用评估,被定义为,进行用户画像，并进行信用评估
它是通过大数据、机器学习技术分析用户行为数据后，进行用户画像，并进行信用评估和风险评估。,风险评估,被定义为,进行用户画像，并进行风险评估
利用NLP和知识图谱技术改善风险模型以减少模型风险，提高欺诈监测能力。,NLP和知识图谱技术,被定义为,改善风险模型以减少模型风险，提高欺诈监测能力
例如，欺诈文本有些固定模式：如用负面情感词，减少第一人称使用等。,欺诈文本,被定义为,固定模式
通过有效的数据聚合分析，可大大减少风险报告和审计过程的资源成本。,数据聚合分析,被定义为,有效的数据聚合分析
其他如Digital_Reasoning、RapidMiner、Lexalytics、Prattle等。,SPO,被定义为,三元组抽取的概念
客户关系管理（CRM）也是在互联网和大数据时代中发展起来，市场相对成熟，应用比较广泛，许多金融科技公司都以此为主要业务方向。,客户关系管理（CRM）,被定义为,在互联网和大数据时代中发展起来，市场相对成熟，应用比较广泛
NLP技术在客户关系管理中的应用，是通过把客户的文本类数据（客服反馈信息、社交媒体上的客户评价、客户调查反馈等）解析文本语义内涵，打上客户标签，建立用户画像。,NLP技术在客户关系管理中的应用,被定义为,把客户的文本类数据（客服反馈信息、社交媒体上的客户评价、客户调查反馈等）解析文本语义内涵，打上客户标签，建立用户画像
这包括客户兴趣洞察（产品兴趣），以进行个性化产品推荐、精准营销等，以及客户态度洞察（对公司和服务满意度、改进意见等），以快速响应客户问题，改善客户体验，加强客户联系，提高客户忠诚度。,客户兴趣洞察,被定义为,进行个性化产品推荐、精准营销
[31]总体来说，基于金融知识图谱的应用，有如下三大特点：（1）广覆盖。,基于金融知识图谱的应用,被定义为,广覆盖
广泛覆盖全量信息源，覆盖宏观、中观、微观各维度信息，覆盖上市公司及非上市公司，以方便后续算法拓展所有可能的深度关联关系。,SPO,被定义为,全量信息源
以可视化的方式和自然语言与用户交互，一目了然，受众更广。,SPO,被定义为,可视化的方式和自然语言与用户交互，一目了然，受众更广
构建用户友好的知识众包协作平台，使得专家能很方便地利用碎片化时间在平台上贡献自己的知识，同时设计相应的知识回报模式。,知识众包协作平台,被定义为,专家利用碎片化时间在平台上贡献自己的知识同时设计相应的知识回报模式
1.知识图谱构建现阶段，基于本体工程的知识描述和表示仍是知识图谱建模的主流方法，而且仅仅用到一些RDFS及OWL中定义的基础元属性来完成知识图谱模式层构建，知识图谱所关注的重点也仍然是数据中的概念、实体、属性等。,知识图谱构建,被定义为,基于本体工程的知识描述和表示
随着人们对知识的认知层次的提升，势必会对现有的知识表示方法进行扩展，逐步扩充对于时序知识、空间知识[22]、事件知识[23]等的表示。,知识表示的扩展,被定义为,时序知识、空间知识、事件知识的表示
未来，深度学习的思想和方法会越来越多地应用于文本信息抽取中，优化抽取方式，提高知识的覆盖率与准确率[24-25]。,文本信息抽取中,被定义为,应用深度学习的思想和方法
其他如跨语言知识融合[26]、知识嵌入[27]等方向也会在深度学习技术的加持下激起新的研究浪潮。,深度学习技术,被定义为,在知识融合、知识嵌入等领域进行研究
2.知识图谱应用在知识图谱应用方面，未来将会出现更多的应用形态，如基于知识图谱的智能文本编制，通过知识图谱将行业中的业务知识与文档相结合，在文档编制过程中进行实时的智能提示、知识校验、知识生产等，辅助文档编制。,知识图谱应用,被定义为,基于知识图谱的智能文本编制
