input,subject,subject_type,data/object,relation,object,object_type
,ALC,知识表示,属性,内容,"⊥ 和 ⊤都是概念;对于概念C和D,¬ C, C⊓D, 和C⊔D都是概念;对于角色r和概念C，∃r.C和∀r.C是概念",文本
,Tbox,知识表示,属性,内容,对于概念C、D，a general concept inclusion (GCI) axiom 有以下形式C ⊑ D,文本
,Abox,知识表示,属性,内容,"ABox断言可以是以下形式之一：C(a)，称为概念断言；r(a,b)，称为角色断言",文本
,描述逻辑,知识表示,,包含,描述逻辑推理,知识表示
,描述逻辑,知识表示,,包含,不一致性和可满足性,知识表示
,不一致性和可满足性,知识表示,,包含,不可满足性,知识表示
,不可满足性,知识表示,属性,英文名,unsatisfiable (inconsistent) ,文本
,不可满足性,知识表示,属性,被定义为,如果有模型，一组公理（知识库）是可满足的（或一致的）。,文本
,不一致性和可满足性,知识表示,,包含,不合理性,知识表示
,不合理性,知识表示,属性,英文名,incoherent,文本
,不合理性,知识表示,属性,被定义为,如果命名类等同于空集，则知识库是不连贯的。,文本
,演绎推理,知识推理,,包含,前项推理,知识推理
,演绎推理,知识推理,,包含,后项推理,知识推理
,前项推理,知识推理,属性,被定义为,从可用数据开始，并使用推理规则提取更多数据，直到达到目标,文本
,前项推理,知识推理,属性,方法,使用前向推理的推理引擎搜索推理规则，直到找到已知先行词（If子句）为真的推理规则,文本
,前项推理,知识推理,属性,方法,当找到这样的规则时，引擎可以得出结论或推断结果（then子句），从而在其数据中添加新信息,文本
,前项推理,知识推理,,包含,物化,知识推理
,物化,知识推理,属性,被定义为,通过应用断言规则来计算所有隐式语句,文本
,物化,知识推理,属性,英文名,Materialization,文本
,前项推理,知识推理,,包含,分类,知识推理
,分类,知识推理,属性,被定义为,通过在TBox上应用规则来计算所有隐式子类关系。,文本
,分类,知识推理,属性,英文名,Classification,文本
,后项推理,知识推理,属性,被定义为,从目标开始反向工作,文本
,Datalog语言,知识推理,属性,被定义为,一种声明逻辑编程语言,文本
,Datalog语言,知识推理,属性,特点,支持递归和规则编辑（更自由）进行推理,文本
,统计推理,知识推理,属性,被定义为,找到合适的统计模型来适应样本，并预测推断知识的预期概率。,文本
,统计推理,知识推理,,包含,基于知识图嵌入的推理,知识推理
,统计推理,知识推理,,包含,基于归纳规则学习的推理,知识推理
,统计推理,知识推理,,包含,多跳推理,知识推理
,基于知识图嵌入的推理,知识推理,属性,英文名,knowledge graph embedding based reasoning,文本
,基于归纳规则学习的推理,知识推理,属性,英文名,inductive rule learning based reasoning,文本
,多跳推理,知识推理,属性,英文名,multi-hop reasoning,文本
,基于知识图嵌入的推理,知识推理,属性,内容,预测缺失的关系,文本
,基于知识图嵌入的推理,知识推理,属性,内容,预测缺失的实体,文本
,基于知识图嵌入的推理,知识推理,属性,内容,事实预测,文本
,面向结构化数据的知识抽取,知识推理,,等价,RDB2RDF,知识抽取
,R2RML,知识抽取,,包含,三元组映射,知识抽取
,三元组映射,知识抽取,属性,英文名,triples map,文本
,三元组映射,知识抽取,属性,被定义为,逻辑表通过规则映射到一组三元组,文本
,三元组映射,知识抽取,属性,内容,有三个部分：输入逻辑表，主语映射，几个谓词-对象映射（结合谓词和对象映射）。,文本
,面向结构化数据的知识抽取,知识抽取,,包含,从关系网表中进行三重提取,知识抽取
,从关系网表中进行三重提取,知识抽取,,包含,实体链接,知识抽取
,从关系网表中进行三重提取,知识抽取,,包含,列类型标注,知识抽取
,从关系网表中进行三重提取,知识抽取,,包含,关系抽取,知识抽取
,实体链接,知识抽取,属性,英文名,Entity Linking,文本
,列类型标注,知识抽取,属性,英文名,Column Typing,文本
,关系抽取,知识抽取,属性,英文名,Relation Extraction,文本
,候选实体生成,知识抽取,,包含,基于字符串相似性的方法,知识抽取
,基于字符串相似性的方法,知识抽取,,包含,Levenshtein距离,知识抽取
,基于字符串相似性的方法,知识抽取,属性,被定义为,计算提及和实体之间的字符串相似性,文本
,Levenshtein距离,知识抽取,属性,被定义为,两个单词之间的Levenshtein距离是将一个单词更改为另一个单词所需的单个字符编辑（插入、删除或替换）的最小次数,文本
,基于字符串相似性的方法,知识抽取,,包含,Jaccard相似度,知识抽取
,Jaccard相似度,知识抽取,属性,被定义为,Jaccard相似度测量有限样本集A和B之间的相似性。,文本
,基于字符串相似性的方法,知识抽取,,包含,同义词的方法,知识抽取
,同义词的方法,知识抽取,属性,被定义为,与基于字典的方法或基于字符串相似性的方法相结合,文本
,候选实体消歧,知识抽取,,包含,局部消歧,知识抽取
,候选实体消歧,知识抽取,,包含,全局消歧,知识抽取
,局部消歧,知识抽取,属性,英文名,Local Disambiguation,文本
,全局消歧,知识抽取,属性,英文名,Global (Collective) Disambiguation,文本
,局部消歧,知识抽取,属性,被定义为,仅使用给定提及和目标实体的上下文信息来消除歧义，而不考虑同一表中其他引用实体的影响(仅使用给定mention和目标实体(candidate entities)之间的上下文信息进行消歧。,文本
,全局消歧,知识抽取,属性,被定义为,利用候选引用实体之间的语义关联，共同消除表中提及的所有实体的歧义。(利用表内所有mention和对应候选实体之间的关联进行联合消歧）,文本
,全局消歧,知识抽取,属性,特点,"一个文档或表中的不同mention很可能指向同一个实体,或相关实体。利用这些联系关系可以增强判断正确实体的依据",文本
,基于图的方法,知识抽取,属性,被定义为,为每个给定表构建实体消歧图,文本
,基于图的方法,知识抽取,,包含,实体消歧图,知识抽取
,实体消歧图,知识抽取,属性,由组成,"Mention Nodes, Entity Nodes, Mention-Entity Edges和Entity-Entity Edges",文本
,列类型标注,知识抽取,属性,被定义为,实体链接完成之后，对于某一列的mention，如果都已经和数据库中的实体进行链接之后，可以根据上下的mention在数据库中实体的type推断该mention在数据库中实体的type（多数投票）,文本
,关系抽取,知识抽取,属性,被定义为,实体链接完成之后，对于某两列的mention，如果都已经和数据库中的实体进行链接之后，并且这两列在数据库中很多都有相同的关系，那么可以补全缺失的关系,文本
,面向百科类数据的知识抽取,知识抽取,,包含,事实提取,知识抽取
,面向百科类数据的知识抽取,知识抽取,,包含,类型推断,知识抽取
,面向百科类数据的知识抽取,知识抽取,,包含,分类归纳,知识抽取
,事实提取,知识抽取,,包含,事实,知识抽取
,事实,知识抽取,属性,被定义为,事实是事实知识，表示为三元组，每个三元组都以<主语、谓词、对象>的形式,文本
,事实提取,知识抽取,,包含,从信息框中提取事实,知识抽取
,事实提取,知识抽取,,包含,从类别中提取事实,知识抽取
,类型推断,知识抽取,属性,内容,最有价值的知识类型之一是类型信息，它指的是陈述实例具有特定类型的公理。,文本
,类型推断,知识抽取,,包含,从信息框中进行类型推断,知识抽取
,类型推断,知识抽取,,包含,从类别中进行类型推断,知识抽取
,类型推断,知识抽取,,包含,从文本中进行类型推断,知识抽取
,从信息框中进行类型推断,知识抽取,属性,方法,可以直接从infobox的template名字中抽取来作为entity types,文本
,从信息框中进行类型推断,知识抽取,属性,方法,信息框中的属性-值对映射到概念-实例对,文本
,从类别中进行类型推断,知识抽取,属性,方法,类型提取，从相应文章的第一句中提取每个实体的类型；类型消歧义，将提取的类型链接到纠正维基百科实体。,文本
,从文本中进行类型推断,知识抽取,属性,方法,类型提取，从其相应文章的第一句中提取每个实体的类型。类型消歧义，将提取的类型链接到正确的维基百科实体。,文本
,分类归纳,知识抽取,属性,方法,第一步-预清理：第二步-基于语法的方法；第三步-基于连接的方法；第四步-基于词典语法的方法；第五步-基于推理的方法,文本
,非结构化数据的知识抽取,知识抽取,,包含,一般IS-A关系提取,知识抽取
,非结构化数据的知识抽取,知识抽取,,包含,术语提取,知识抽取
,一般IS-A关系提取,知识抽取,属性,英文名,General IS-A Relation Extraction,文本
,术语提取,知识抽取,属性,英文名,Terminology/ Term Extraction,文本
,一般IS-A关系提取,知识抽取,属性,作用,一般是-a关系是更具体的单词（即hyperonym）和更一般的术语（即hyperonym）之间的语义关系,文本
,一般IS-A关系提取,知识抽取,,包含,三元组生成,知识抽取
,一般IS-A关系提取,知识抽取,,包含,IS-A关系预测,知识抽取
,三元组生成,知识抽取,属性,被定义为,输入一个大规模预料，输出一些具有is-a关系的三元组,文本
,IS-A关系预测,知识抽取,属性,被定义为,输入一个给定的候选的上下位词，输出判断是否存在is-a关系,文本
,三元组生成,知识抽取,,包含,基于模式的方法,知识抽取
,IS-A关系预测,知识抽取,,包含,分布法,知识抽取
,分布法,知识抽取,,包含,无监督分布方法,知识抽取
,分布法,知识抽取,,包含,监督分配方法,知识抽取
,无监督分布方法,知识抽取,属性,方法,假设一个下位词只出现在它的上位词的某些上下文中，而上位词出现在它的下位词的所有上下文中。,文本
,监督分配方法,知识抽取,属性,方法,学习一个函数来衡量两个单词之间存在is-a关系的可能性,文本
,分布法,知识抽取,属性,目标,解决上下位词之间同时出现稀疏的问题,文本
,术语提取,知识抽取,属性,方法,1.输入文本；2.预处理；3.术语提取；4.过滤；,文本
,术语提取,知识抽取,,包含,基于语言的方法,知识抽取
,术语提取,知识抽取,,包含,基于统计的方法,知识抽取
,术语提取,知识抽取,,包含,基于图形的方法,知识抽取
,Chunker,知识抽取,,属于,基于语言的方法,知识抽取
,TF-IDF,知识抽取,,属于,基于统计的方法,知识抽取
,TextRank,知识抽取,,属于,基于图形的方法,知识抽取
,Chunker,知识抽取,属性,方法,1. 使用词性和正则表达式来定义NP的组成模式(Define patterns of NPs)称为NPChunker 2. 对句子中的词进行词性标注，使用NPChunker来构建句法树，得到为NP的候选术语(Find Candidate Terms using Chunker) 3. 候选术语过滤(Candidate Terms Filtering),文本
,TF-IDF,知识抽取,属性,方法,TF-IDF值与文档中单词的出现次数成正比，与整个语料库中单词的出现次数成反比。,文本
,PMI,知识抽取,,属于,基于统计的方法,知识抽取
,PMI,知识抽取,属性,目标,用于计算NLP中单词之间的关联程度,文本
,TextRank,知识抽取,,来源,PageRank,知识抽取
,PageRank,知识抽取,属性,方法,将互联网视为有向图形，网页作为图形中的节点，网页之间的链接作为图形中的边缘。当一个网页被许多其他网页链接时，这意味着这个网页更重要，也就是说，这个网页的PR值（PageRank值）会更高。如果具有高PR值的网页链接到另一个网页，则链接网页的PR值将相应增加。,文本
,TextRank,知识抽取,属性,方法,将“单词”视为“网页”。根据单词之间的共同发生来计算单词的重要性。将PageRank中的有向图转换为无向图。,文本
,知识融合,知识融合,属性,被定义为,不同的来源包含对同一现实世界实体的不同描述，从多个来源用不同的描述识别同一实体,文本
,实体匹配,知识融合,属性,被定义为,它是查找不同本体的类（或属性）之间的对应关系（即关系）的过程。,文本
,实体匹配,知识融合,属性,特点,从本地本体创建全局本体；在本体之间重复使用信息；处理异质性； 跨多个分布式资源的查询,文本
,实体匹配,知识融合,,包含,元素级匹配技术,知识融合
,实体匹配,知识融合,,包含,结构级匹配技术,知识融合
,元素级匹配技术,知识融合,属性,方法,单独的去分析实体或实例，忽略他们与其他的实体或实例的关系,文本
,结构级匹配技术,知识融合,属性,方法,从结构的角度来分析实体或实例,文本
,元素级匹配技术,知识融合,,包含,前缀法,知识融合
,元素级匹配技术,知识融合,,包含,后缀法,知识融合
,元素级匹配技术,知识融合,,包含,编辑距离,知识融合
,元素级匹配技术,知识融合,,包含,n-gram,知识融合
,元素级匹配技术,知识融合,,包含,分词法,知识融合
,元素级匹配技术,知识融合,,包含,词形还原,知识融合
,结构级匹配技术,知识融合,,包含,基于图的技术,知识融合
,结构级匹配技术,知识融合,,包含,基于分类的技术,知识融合
,结构级匹配技术,知识融合,,包含,基于模型的技术,知识融合
,结构级匹配技术,知识融合,,包含,基于实例的技术,知识融合
,基于图的技术,知识融合,属性,方法,将输入本体视为标记的图形；如果两个本体的两个节点相似，它们的邻居也可能以某种方式相似,文本
,基于分类的技术,知识融合,属性,方法,Is-a链接连接已经相似的术语，因此它们的邻居可能在某种程度上相似。,文本
,基于模型的技术,知识融合,属性,方法,比较类实例集，以决定这些类是否匹配,文本
,基于实例的技术,知识融合,属性,方法,根据其语义解释（例如，模型理论语义）处理输入本体；如果两个类（或属性）是相同的，那么它们共享相同的解释。,文本
,结构级匹配技术,知识融合,属性,方法,基于模型的技术,知识融合
,实例匹配,知识融合,,属于,数据层的融合,知识融合
,实例匹配,知识融合,,包含,基于嵌入的方法,知识融合
,实例匹配,知识融合,,包含,基于规则的方法,知识融合
,基于嵌入的方法,知识融合,属性,方法,根据实体嵌入来衡量实体的相似性,文本
,基于规则的方法,知识融合,属性,方法,在迭代中自动发现和细化特定于数据集的匹配规则,文本
,实例匹配,知识融合,属性,被定义为,查找同一现实世界对象的不同实例的过程,文本
,SPARQL,知识存储,,包含,图匹配,知识存储
,图匹配,知识存储,,包含,基本图模式的匹配,知识存储
,基本图模式的匹配,知识存储,,包含,简单查询,知识存储
,基本图模式的匹配,知识存储,,包含,多个匹配,知识存储
,基本图模式的匹配,知识存储,,包含,匹配RDF字面量,知识存储
,基本图模式的匹配,知识存储,,包含,查询结果中的空白节点标签,知识存储
,基本图模式的匹配,知识存储,属性,被定义为,"Triple patterns are similar to RDF triples, but any component can be a query variable. Matching a triple pattern to a graph: bindings between variables and RDF terms.",文本
,图匹配,知识存储,,包含,组图模式,知识存储
,图匹配,知识存储,,包含,Optional图模式,知识存储
,图匹配,知识存储,,包含,Alternative图模式,知识存储
,SPARQL,知识存储,,包含,SPARQL查询的组件,知识存储
,SPARQL查询的组件,知识存储,,包含,指定的数据集,知识存储
,指定的数据集,知识存储,属性,英文名,Dataset specification,文本
,指定的数据集,知识存储,属性,作用,指定要查询的RDF数据集,文本
,SPARQL查询的组件,知识存储,,包含,查询模式,知识存储
,查询模式,知识存储,属性,英文名,Query pattern,文本
,查询模式,知识存储,属性,作用,WHERE子句指定要匹配的图形模式,文本
,SPARQL查询的组件,知识存储,,包含,解决方案修饰符,知识存储
,解决方案修饰符,知识存储,属性,英文名,Solution modifiers,文本
,解决方案修饰符,知识存储,,包含,Order,知识存储
,解决方案修饰符,知识存储,,包含,Projection,知识存储
,解决方案修饰符,知识存储,,包含,Distinct,知识存储
,解决方案修饰符,知识存储,,包含,Reduced,知识存储
,解决方案修饰符,知识存储,,包含,Offset,知识存储
,解决方案修饰符,知识存储,,包含,Limit,知识存储
,Order,知识存储,属性,作用,按序输出答案,文本
,Distinct,知识存储,属性,作用,从结果集中删除重复项,文本
,Offset,知识存储,属性,作用,首次报告结果的位置,文本
,Limit,知识存储,属性,作用,限制结果的数量,文本
,查询模式,知识存储,,包含,SELECT,知识存储
,查询模式,知识存储,,包含,DESCRIBE,知识存储
,DESCRIBE,知识存储,属性,作用,输出描述所发现资源的RDF图（即所有RDF三元组）,文本
,查询模式,知识存储,,包含,CONSTRUCT,知识存储
,CONSTRUCT,知识存储,属性,作用,输出由模板构建的RDF图,文本
,查询模式,知识存储,,包含,ASK,知识存储
,ASK,知识存储,属性,作用,检查是否至少有一个结果,文本
,SPARQL,知识存储,,包含,更新操作,知识存储
,更新操作,知识存储,,包含,INSERT,知识存储
,INSERT,知识存储,属性,作用,在现有的RDF图中插入新的RDF三元组,文本
,更新操作,知识存储,,包含,DELETE,知识存储
,DELETE,知识存储,属性,作用,删除RDF图中的一些三元组。,文本
,更新操作,知识存储,,包含,CLEAR,知识存储
,CLEAR,知识存储,属性,作用,移除图存储中指定图中的所有三元组。,文本
,更新操作,知识存储,,包含,MOVE,知识存储
,MOVE,知识存储,属性,作用,将所有数据从输入图移动到目标图中,文本
,Cypher,知识存储,,包含,Cypher-CREATE,知识存储
,Cypher-CREATE,知识存储,,包含,创建节点,知识存储
,创建节点,知识存储,属性,语法,"CREATE{node:<node1-label-name>{<Property1-name>:<Property1-Value>,........<Propertyn-name>:<Propertyn-Value>}}",文本
,Cypher-CREATE,知识存储,,包含,创建关系,知识存储
,创建关系,知识存储,属性,语法,CREATE(<node1-name>:<node1-label-name>{<define-properties-list>})-[<relationship-name>:<relationship-label-name>{<define-properties-list>}]->(<node2-name>:<node2-label-name>{<define-properties-list>}),文本
,Cypher,知识存储,,包含,Cypher-MATCH,知识存储
,Cypher-MATCH,知识存储,属性,语法,"MATCH(<node-name>:<label-name>{<Property1-name>:<Property1-Value>,........<Propertyn-name>:<Propertyn-Value>})-[<relationship-name>:<relationship-label-name>{<define-properties-list>}]->(<node-name>:<label-name>{<Property1-name>:<Property1-Value>,........<Propertyn-name>:<Propertyn-Value>})RETURN ........",文本
,Cypher,知识存储,,包含,Cypher-DELETE,知识存储
,Cypher,知识存储,,包含,Cypher-SET,知识存储
,Cypher-SET,知识存储,属性,作用,更新图,文本
