input,subject,subject_type,data/object,relation,object,object_type
例如，知识图谱被广泛用来作为先验知识从文本中抽取实体和关系，如在远程监督中的应用。,知识图谱应用,知识图谱,,包含,从文本中抽取实体和关系,知识图谱
知识图谱也被用来辅助实现文本中的实体消歧（Entity_Disambiguation）、指代消解和文本理解等。,知识图谱应用,知识图谱,,包含,文本中实体消歧,知识图谱
知识图谱也被用来辅助实现文本中的实体消歧（Entity_Disambiguation）、指代消解和文本理解等。,知识图谱应用,知识图谱,,包含,指代消解,知识图谱
知识图谱也被用来辅助实现文本中的实体消歧（Entity_Disambiguation）、指代消解和文本理解等。,知识图谱应用,知识图谱,,包含,文本理解,知识图谱
下面分别介绍早期的知识库项目、互联网时代的知识图谱、中文开放知识图谱和垂直领域知识图谱。,知识图谱项目,知识图谱项目,,包含,早期的知识库项目,知识图谱项目
下面分别介绍早期的知识库项目、互联网时代的知识图谱、中文开放知识图谱和垂直领域知识图谱。,知识图谱项目,知识图谱项目,,包含,互联网时代的知识图谱,知识图谱项目
下面分别介绍早期的知识库项目、互联网时代的知识图谱、中文开放知识图谱和垂直领域知识图谱。,知识图谱项目,知识图谱项目,,包含,中文开放知识图谱,知识图谱项目
下面分别介绍早期的知识库项目、互联网时代的知识图谱、中文开放知识图谱和垂直领域知识图谱。,知识图谱项目,知识图谱项目,,包含,垂直领域知识图谱,知识图谱项目
1.4.1早期的知识库项目Cyc是持续时间最久、影响范围较广、争议也较多的知识库项目。,Cyc,知识图谱项目,,属于,早期的知识库项目,知识图谱项目
Cyc知识库主要由术语（Term）和断言（Assertion）组成。,Cyc,知识图谱项目,,由组成,术语,知识图谱项目
Cyc知识库主要由术语（Term）和断言（Assertion）组成。,Cyc,知识图谱项目,,由组成,断言,知识图谱项目
术语包含概念、关系和实体的定义。,术语,知识图谱项目,属性,被定义为,概念、关系和实体的定义,文本
断言用来建立术语之间的关系，既包括事实（Fact）描述，也包含规则（Rule）描述。,断言,知识图谱项目,属性,被定义为,建立术语之间的关系,文本
最新的Cyc知识库已经包含有50万条术语和700万条断言。,Cyc,知识图谱项目,属性,内容,50万条术语和700万条断言,文本
Cyc的主要特点是基于形式化的知识表示方法刻画知识。,Cyc,知识图谱项目,属性,特点,基于形式化的知识表示方法刻画知识,文本
WordNet是最著名的词典知识库，由普林斯顿大学认知科学实验室从1985年开始开发。,WordNet,知识图谱项目,,属于,早期的知识库项目,知识图谱项目
WordNet是最著名的词典知识库，由普林斯顿大学认知科学实验室从1985年开始开发。,WordNet,知识图谱项目,属性,创建时间,1985,时间
WordNet是最著名的词典知识库，由普林斯顿大学认知科学实验室从1985年开始开发。,WordNet,知识图谱项目,属性,创建者,普林斯顿大学认知科学实验室,人物/实验室
WordNet主要定义了名词、动词、形容词和副词之间的语义关系。,WordNet,知识图谱项目,属性,内容,名词、动词、形容词和副词之间的语义关系,文本
ConceptNet最早源于MIT媒体实验室的OMCS（Open_Mind_Common_Sense）项目。,ConceptNet,知识图谱项目,属性,创建者,MIT媒体实验室的OMCS（Open_Mind_Common_Sense）项目,人物/实验室
与Cyc相比，ConceptNet采用了非形式化、更加接近自然语言的描述，而不是像Cyc一样采用形式化的谓词逻辑。,ConceptNet,知识图谱项目,属性,内容,非形式化、更加接近自然语言的描述,文本
这类知识库的构建方法可以分为三类：互联网众包、专家协作和互联网挖掘。,互联网时代的知识图谱构建方法,知识图谱项目,,包含,互联网众包,知识图谱项目
这类知识库的构建方法可以分为三类：互联网众包、专家协作和互联网挖掘。,互联网时代的知识图谱构建方法,知识图谱项目,,包含,专家协作,知识图谱项目
这类知识库的构建方法可以分为三类：互联网众包、专家协作和互联网挖掘。,互联网时代的知识图谱构建方法,知识图谱项目,,包含,互联网挖掘,知识图谱项目
Freebase是一个开放共享的、协同构建的大规模链接数据库。,Freebase,知识图谱项目,,属于,互联网时代的知识图谱,知识图谱项目
Freebase是由硅谷创业公司MetaWeb于2005年启动的一个语义网项目。,Freebase,知识图谱项目,属性,创建时间,2005,时间
Freebase是由硅谷创业公司MetaWeb于2005年启动的一个语义网项目。,Freebase,知识图谱项目,属性,创建者,MetaWeb,人物/实验室
Freebase基于RDF三元组模型，底层采用图数据库进行存储。,Freebase,知识图谱项目,属性,方法,RDF三元组模型,文本
Freebase的一个特点是不对顶层本体做非常严格的控制，用户可以创建与编辑类和关系的定义。,Freebase,知识图谱项目,属性,特点,不对顶层本体做非常严格的控制，用户可以创建与编辑类和关系的定义,文本
DBpedia采用RDF语义数据模型，总共包含30亿个RDF三元组。,DBpedia,知识图谱项目,,属于,互联网时代的知识图谱,知识图谱项目
DBpedia采用RDF语义数据模型，总共包含30亿个RDF三元组。,DBpedia,知识图谱项目,属性,方法,RDF语义数据模型,文本
Schema.org是从2011年开始，由Bing、Google、Yahoo和Yandex等搜索引擎公司共同支持的语义网项目。,Schema.org,知识图谱项目,属性,创建者,Bing、Google、Yahoo和Yandex,人物/实验室
Schema.org是从2011年开始，由Bing、Google、Yahoo和Yandex等搜索引擎公司共同支持的语义网项目。,Schema.org,知识图谱项目,属性,创建时间,2011,时间
Schema.org的本质是采用互联网众包的方式生成和收集高质量的知识图谱数据。,Schema.org,知识图谱项目,属性,方法,采用互联网众包的方式生成和收集高质量的知识图谱数据,文本
Wikidata的目标是构建一个免费开放、多语言、任何人或机器都可以编辑修改的大规模链接知识库。,Wikidata,知识图谱项目,,属于,互联网时代的知识图谱,知识图谱项目
Wikidata的目标是构建一个免费开放、多语言、任何人或机器都可以编辑修改的大规模链接知识库。,Wikidata,知识图谱项目,属性,目标,构建一个免费开放、多语言、任何人或机器都可以编辑修改的大规模链接知识库,文本
Wikidata由Wikipedia于2012年启动，早期得到微软联合创始人PaulAllen、Gordon_Betty_Moore基金会以及谷歌的联合资助。,Wikidata,知识图谱项目,属性,创建者,Wikipedia,人物/实验室
Wikidata由Wikipedia于2012年启动，早期得到微软联合创始人PaulAllen、Gordon_Betty_Moore基金会以及谷歌的联合资助。,Wikidata,知识图谱项目,属性,创建时间,2012,时间
截至2018年，Wikidata已经包含超过5000万个知识条目。,Wikidata,知识图谱项目,属性,内容,超过5000万个知识条目,文本
BabelNet是类似于WordNet的多语言词典知识库。,BabelNet,知识图谱项目,,属于,互联网时代的知识图谱,知识图谱项目
BabelNet的目标是解决WordNet在非英语语种中数据缺乏的问题。,BabelNet,知识图谱项目,属性,目标,解决WordNet在非英语语种中数据缺乏的问题,文本
BabelNet采用的方法是将WordNet词典与Wikipedia集成。,BabelNet,知识图谱项目,属性,方法,将WordNet词典与Wikipedia集成,文本
NELL（Never-Ending_Language_Learner）是卡内基梅隆大学开发的知识库。,NELL,知识图谱项目,,属于,互联网时代的知识图谱,知识图谱项目
NELL（Never-Ending_Language_Learner）是卡内基梅隆大学开发的知识库。,NELL,知识图谱项目,属性,创建者,卡内基梅隆大学,人物/实验室
NELL主要采用互联网挖掘的方法从Web中自动抽取三元组知识。,NELL,知识图谱项目,属性,方法,互联网挖掘的方法从Web中自动抽取三元组知识,文本
Yago是由德国马普研究所研制的链接数据库。,Yago,知识图谱项目,,属于,互联网时代的知识图谱,知识图谱项目
Yago是由德国马普研究所研制的链接数据库。,Yago,知识图谱项目,属性,创建者,德国马普研究所,人物/实验室
MicrosoftConceptGraph是以概念层次体系为中心的知识图谱。,MicrosoftConceptGraph,知识图谱项目,,属于,互联网时代的知识图谱,知识图谱项目
1.4.3中文开放知识图谱OpenKG是一个面向中文域开放知识图谱的社区项目，主要目的是促进中文领域知识图谱数据的开放与互联。,OpenKG.CN,知识图谱项目,,属于,典型的中文开放知识图谱数据,知识图谱项目
典型的中文开放知识图谱数据包括百科类的Zhishi.me（狗尾草科技、东南大学）、CN-DBpedia（复旦大学）、XLore（清华大学）、Belief-Engine（中科院自动化所）、PKUPie（北京大学）、ZhOnto（狗尾草科技）等。,典型的中文开放知识图谱数据,知识图谱项目,,包含,Zhishi.me,知识图谱项目
典型的中文开放知识图谱数据包括百科类的Zhishi.me（狗尾草科技、东南大学）、CN-DBpedia（复旦大学）、XLore（清华大学）、Belief-Engine（中科院自动化所）、PKUPie（北京大学）、ZhOnto（狗尾草科技）等。,典型的中文开放知识图谱数据,知识图谱项目,,包含,CN-DBpedia,知识图谱项目
典型的中文开放知识图谱数据包括百科类的Zhishi.me（狗尾草科技、东南大学）、CN-DBpedia（复旦大学）、XLore（清华大学）、Belief-Engine（中科院自动化所）、PKUPie（北京大学）、ZhOnto（狗尾草科技）等。,典型的中文开放知识图谱数据,知识图谱项目,,包含,XLore,知识图谱项目
典型的中文开放知识图谱数据包括百科类的Zhishi.me（狗尾草科技、东南大学）、CN-DBpedia（复旦大学）、XLore（清华大学）、Belief-Engine（中科院自动化所）、PKUPie（北京大学）、ZhOnto（狗尾草科技）等。,典型的中文开放知识图谱数据,知识图谱项目,,包含,Belief-Engine,知识图谱项目
典型的中文开放知识图谱数据包括百科类的Zhishi.me（狗尾草科技、东南大学）、CN-DBpedia（复旦大学）、XLore（清华大学）、Belief-Engine（中科院自动化所）、PKUPie（北京大学）、ZhOnto（狗尾草科技）等。,典型的中文开放知识图谱数据,知识图谱项目,,包含,PKUPie,知识图谱项目
典型的中文开放知识图谱数据包括百科类的Zhishi.me（狗尾草科技、东南大学）、CN-DBpedia（复旦大学）、XLore（清华大学）、Belief-Engine（中科院自动化所）、PKUPie（北京大学）、ZhOnto（狗尾草科技）等。,典型的中文开放知识图谱数据,知识图谱项目,,包含,ZhOnto,知识图谱项目
1.4.4垂直领域知识图谱领域知识图谱是相对于DBPedia、Yago、Wikidata、百度和谷歌等搜索引擎在使用的知识图谱等通用知识图谱而言的，它是面向特定领域的知识图谱，如电商、金融、医疗等。,垂直领域知识图谱,知识图谱项目,属性,被定义为,面向特定领域的知识图谱,文本
表1-1通用知识图谱与领域知识图谱的比较1.电商领域知识图谱以阿里巴巴电商知识图谱为例[27]，最新发布的知识图谱规模已达到百亿级别。,阿里巴巴电商知识图谱,知识图谱项目,,属于,垂直领域知识图谱,知识图谱项目
例如，仅Linked_Life_Data项目包含的RDF三元组规模就达到102亿个[3]，包含从基因、蛋白质、疾病、化学、神经科学、药物等多个领域的知识。,Linked_Life_Data,知识图谱项目,,属于,垂直领域知识图谱,知识图谱项目
医学领域的知识结构更加复杂[29-31]，如医学语义网络UMLS包含大量复杂的语义关系，GeneOnto[29]则包含复杂的类层次结构。,UMLS,知识图谱项目,,属于,垂直领域知识图谱,知识图谱项目
医学领域的知识结构更加复杂[29-31]，如医学语义网络UMLS包含大量复杂的语义关系，GeneOnto[29]则包含复杂的类层次结构。,GeneOnto,知识图谱项目,,属于,垂直领域知识图谱,知识图谱项目
3.金融领域知识图谱金融领域比较典型的例子如Kensho采用知识图谱辅助投资顾问和投资研究，国内以恒生电子为代表的金融科技机构以及不少银行、证券机构等也都在开展金融领域的知识图谱构建工作。,Kensho,知识图谱项目,,属于,垂直领域知识图谱,知识图谱项目
1.知识来源可以从多种来源获取知识图谱数据，包括文本、结构化数据库、多媒体数据、传感器数据和人工众包等。,知识图谱构建,知识图谱,,包含,知识来源,知识图谱
1.知识来源可以从多种来源获取知识图谱数据，包括文本、结构化数据库、多媒体数据、传感器数据和人工众包等。,知识来源,知识图谱,,包含,文本,知识图谱
1.知识来源可以从多种来源获取知识图谱数据，包括文本、结构化数据库、多媒体数据、传感器数据和人工众包等。,知识来源,知识图谱,,包含,结构化数据库,知识图谱
1.知识来源可以从多种来源获取知识图谱数据，包括文本、结构化数据库、多媒体数据、传感器数据和人工众包等。,知识来源,知识图谱,,包含,多媒体数据,知识图谱
1.知识来源可以从多种来源获取知识图谱数据，包括文本、结构化数据库、多媒体数据、传感器数据和人工众包等。,知识来源,知识图谱,,包含,传感器数据,知识图谱
1.知识来源可以从多种来源获取知识图谱数据，包括文本、结构化数据库、多媒体数据、传感器数据和人工众包等。,知识来源,知识图谱,,包含,人工众包,知识图谱
2.知识表示与Schema工程知识表示是指用计算机符号描述和表示人脑中的知识，以支持机器模拟人的心智进行推理的方法与技术。,知识表示,知识表示,属性,被定义为,用计算机符号描述和表示人脑中的知识,文本
知识表示决定了图谱构建的产出目标，即知识图谱的语义描述框架（Description_Framework）、Schema与本体（Ontology）、知识交换语法（Syntax）、实体命名及ID体系。,知识图谱构建,知识图谱构建,,目标,语义描述框架,知识图谱
知识表示决定了图谱构建的产出目标，即知识图谱的语义描述框架（Description_Framework）、Schema与本体（Ontology）、知识交换语法（Syntax）、实体命名及ID体系。,知识图谱构建,知识图谱构建,,目标,Schema与本体,知识图谱
知识表示决定了图谱构建的产出目标，即知识图谱的语义描述框架（Description_Framework）、Schema与本体（Ontology）、知识交换语法（Syntax）、实体命名及ID体系。,知识图谱构建,知识图谱构建,,目标,交换语法,知识图谱
知识表示决定了图谱构建的产出目标，即知识图谱的语义描述框架（Description_Framework）、Schema与本体（Ontology）、知识交换语法（Syntax）、实体命名及ID体系。,知识图谱构建,知识图谱构建,,目标,实体命名,知识图谱
知识表示决定了图谱构建的产出目标，即知识图谱的语义描述框架（Description_Framework）、Schema与本体（Ontology）、知识交换语法（Syntax）、实体命名及ID体系。,知识图谱构建,知识图谱构建,,目标,ID体系,知识图谱
知识表示决定了图谱构建的产出目标，即知识图谱的语义描述框架（Description_Framework）、Schema与本体（Ontology）、知识交换语法（Syntax）、实体命名及ID体系。,语义描述框架,知识图谱构建,属性,英文名,Description_Framework,文本
知识表示决定了图谱构建的产出目标，即知识图谱的语义描述框架（Description_Framework）、Schema与本体（Ontology）、知识交换语法（Syntax）、实体命名及ID体系。,知识交换语法,知识图谱构建,属性,英文名,Syntax,文本
"基本描述框架定义知识图谱的基本数据模型（DataModel）和逻辑结构（Structure），如国际万维网联盟（World_Wide_Web_Consortium,W3C）的RDF。",语义描述框架,知识图谱构建,属性,定义,知识图谱的基本数据模型和逻辑结构,文本
Schema与本体定义知识图谱的类集、属性集、关系集和词汇集。,Schema与本体,知识图谱构建,属性,定义,知识图谱的类集、属性集、关系集和词汇集,文本
交换语法定义知识实际存在的物理格式，如Turtle、JSON等。,交换语法,知识图谱构建,属性,定义,知识实际存在的物理格式,文本
实体命名及ID体系定义实体的命名原则及唯一标识规范等。,实体命名及ID体系,知识图谱构建,属性,定义,定义实体的命名原则及唯一标识规范等,文本
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,知识图谱,知识图谱,,由组成,词,知识图谱
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,知识图谱,知识图谱,,由组成,实体,知识图谱
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,知识图谱,知识图谱,,由组成,关系,知识图谱
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,知识图谱,知识图谱,,由组成,事件,知识图谱
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,知识图谱,知识图谱,,由组成,术语体系,知识图谱
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,知识图谱,知识图谱,,由组成,规则,知识图谱
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,词,知识图谱,属性,英文名,Vocabulary,文本
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,实体,知识图谱,属性,英文名,Entity,文本
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,关系,知识图谱,属性,英文名,Relation,文本
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,事件,知识图谱,属性,英文名,Event,文本
按知识类型的不同，知识图谱包括词（Vocabulary）、实体（Entity）、关系（Relation）、事件（Event）、术语体系（Taxonomy）、规则（Rule）等。,术语体系,知识图谱,属性,英文名,Taxonomy,文本
