input,subject,subject_type,relation,object,object_type
其中，语言学模型主要侧重对词语级别的关系建模、分类以及构建同义词库，而概念模型主要侧重对论域中的语法元素的关系建模，以及从语法元素到论域的映射。,语言学模型,,,对词语级别的关系建模、分类以及构建同义词库,
其中，语言学模型主要侧重对词语级别的关系建模、分类以及构建同义词库，而概念模型主要侧重对论域中的语法元素的关系建模，以及从语法元素到论域的映射。,概念模型,,,对论域中的语法元素的关系建模，以及从语法元素到论域的映射,
此外，语义模型要求必须具备表达能力，即语言和建模结构的数量。,语义模型的表达能力,,,语言和建模结构的数量,
此外，语义模型要求必须具备表达能力，即语言和建模结构的数量。,表达能力,,,expressiveness,
同时，语义模型还必须能够形式化，即解析过程必须是可计算的。,语义模型,,,可计算,
可见，不同的语义模型对应的搜索技术也不同。,语义模型,,,搜索技术,
也就是说，并不存在单一类型的语义搜索技术，而是利用各种不同表达能力的语义模型的搜索系统。,语义搜索技术,,,利用各种不同表达能力的语义模型的搜索系统,
也就是说，并不存在单一类型的语义搜索技术，而是利用各种不同表达能力的语义模型的搜索系统。,语义搜索技术,,,语义搜索,
显然，基于数据库和基于知识库的检索系统属于重量级语义搜索系统，因为它们采用显式的和形式化的模型，例如关系数据库中的E-R图、RDF和OWL中的知识模型。,基于数据库的检索系统,,,基于数据库的检索系统,
近年来，语义数据的数量不断增加，特别是RDF数据，通过标记的方式已经嵌入在许多网页文档中，或与文档形成了关联。,语义数据,,,标记的方式或形成关联,
通过在检索过程中结合使用这些表达能力更强的类型数据，纯粹面向文档的检索系统已经包含了一定程度的语义使用，已经变成了轻量级的语义搜索系统。,语义检索,,,面向文档的检索系统,
通过在检索过程中结合使用这些表达能力更强的类型数据，纯粹面向文档的检索系统已经包含了一定程度的语义使用，已经变成了轻量级的语义搜索系统。,语义检索,,,semantic search system,
如图7-1所示，一个语义搜索系统的基本框架包括查询构建、查询处理、结果展示、查询优化、语义模型、资源及文档等。,语义搜索系统,,,查询构建、查询处理、结果展示、查询优化、语义模型、资源及文档等,
如图7-1所示，一个语义搜索系统的基本框架包括查询构建、查询处理、结果展示、查询优化、语义模型、资源及文档等。,语义搜索系统,,,semantic search system,
受益于结构化和语义数据的可用性的增加，重量级语义搜索系统的使用不再局限于专用领域，可能在更大规模的场景（例如Web）中找到其应用。,语义搜索系统,,,重量级语义搜索系统应用于更大规模的场景,
目前，大量的语义网络搜索系统已经被构建，其目的是利用互联网上大量的RDF数据及表达Web上可用的OWL本体。,语义网络搜索系统,,,构建,
目前，大量的语义网络搜索系统已经被构建，其目的是利用互联网上大量的RDF数据及表达Web上可用的OWL本体。,语义网络搜索系统,,,semantic network search system,
一方面，可以采用应用于信息检索领域的方法和技术来解决可扩展性问题，以克服Web数据的质量问题，并处理与长文本描述相关的数据元素[6]。,可扩展性问题,,,应用于信息检索领域的方法和技术来解决可扩展性问题，以克服Web数据的质量问题，并处理与长文本描述相关的数据元素[6]。,
另一方面，也可以直接将数据库和语义网技术应用于信息检索问题，将丰富的结构化和高度表达的数据的可用性提高到搜索过程中。,数据库,,,信息检索,
另一方面，也可以直接将数据库和语义网技术应用于信息检索问题，将丰富的结构化和高度表达的数据的可用性提高到搜索过程中。,数据库,,,database,
总的来说，不同的技术路线和语义搜索系统不仅在使用的数据方面存在趋同，而且在搜索中应用的技术也趋于一致。,语义搜索系统,,,使用的数据,
文档检索与数据检索之间逐渐因为语义搜索的出现变得没有明确的界限，语义在一定程度上始终参与检索过程。,文档检索,,,语义搜索,
目前，最先进的语义搜索系统结合了一系列技术，包括结构化查询语言的构建、基于统计的信息检索排序方法、有效索引和查询处理的数据库方法以及复杂推理等技术。,语义搜索系统,,,结合了一系列技术,
回顾前面章节中的内容，知识图谱的数据模型为RDF，它是W3C推荐的用于表示语义信息的重要数据标准。,知识图谱的数据模型,,,RDF,
RDF的核心思想是通过RDF三元组的形式描述事实知识。,RDF,,,通过RDF三元组的形式描述事实知识,
多个RDF三元组组成的集合构成了RDF数据集。,RDF三元组组成的集合,,,RDF数据集,
目前，RDF已经成为知识图谱的主要描述格式，越来越多的知识图谱数据以RDF三元组的形式发布出来。,RDF,,,知识图谱的描述格式,
多个知识图谱通过RDF三元组之间相互关联，形成了一个巨大的数据关联网络。,知识图谱,,,RDF三元组之间相互关联形成的数据关联网络,
以LOD为例，整个项目已经包含超过1000多亿条RDF三元组并依然在快速增加，蕴含了丰富的信息资源。,LOD,,,信息资源,
以LOD为例，整个项目已经包含超过1000多亿条RDF三元组并依然在快速增加，蕴含了丰富的信息资源。,LOD,,,链接数据,
精确查询并获取知识图谱中三元组中的有关信息是语义搜索的核心。,语义搜索,,,精确查询并获取知识图谱中三元组中的有关信息,
SPARQL查询语言是面向RDF图的结构化查询语言，目前已被W3C推荐为RDF数据的标准查询语言[2]，其地位和查询形式都类似于关系数据库的SQL语言。,SPARQL查询语言,,,面向RDF图的结构化查询语言,
SPARQL查询语言是面向RDF图的结构化查询语言，目前已被W3C推荐为RDF数据的标准查询语言[2]，其地位和查询形式都类似于关系数据库的SQL语言。,SPARQL查询语言,,,结构化查询语言,
W3C推荐RDF数据集的发布者在发布数据的同时，能够提供相应的SPARQL检索引擎和查询接口。,W3C推荐RDF数据集的发布者,,,提供相应的SPARQL检索引擎和查询接口,
以Apache软件基金会的Jena[3]项目为代表的一些SPARQL开源框架，进一步促进了组织机构和个人快速方便地搭建自己的SPARQL查询服务。,SPARQL开源框架,,,以Apache软件基金会的Jena项目为代表的一些,
SPARQL查询的核心处理单元是类似RDF三元组形式的三元组模式（TriplePattern），不同之处在于SPARQL的三元组模式中，主语、谓语或宾语可以是变量（以“?”开头标识）。,SPARQL查询的核心处理单元,,,三元组形式的三元组模式,
SPARQL查询的核心处理单元是类似RDF三元组形式的三元组模式（TriplePattern），不同之处在于SPARQL的三元组模式中，主语、谓语或宾语可以是变量（以“?”开头标识）。,SPARQL查询的核心处理单元,,,TriplePattern,
除此之外，SPARQL查询还定义了多个基本图模式之间进行的运算操作，以及基本图模式与RDF图匹配完成后的结果过滤操作（Filter_Operator），如可以用？date大于1990（?date>1990）对前面一个查询例子中的电影日期进行限制。,SPARQL查询,,,基本图模式之间进行的运算操作以及基本图模式与RDF图匹配完成后的结果过滤操作,
除此之外，SPARQL查询还定义了多个基本图模式之间进行的运算操作，以及基本图模式与RDF图匹配完成后的结果过滤操作（Filter_Operator），如可以用？date大于1990（?date>1990）对前面一个查询例子中的电影日期进行限制。,等价,,,operate,
除此之外，SPARQL查询还定义了多个基本图模式之间进行的运算操作，以及基本图模式与RDF图匹配完成后的结果过滤操作（Filter_Operator），如可以用？date大于1990（?date>1990）对前面一个查询例子中的电影日期进行限制。,Filter_Operator,,,过滤操作,
最后，在SPARQL1.1版本中，还增加了联合查询功能，即支持通过FROM和嵌套查询的方式，进>行多个数据源联合查询。,SPARQL1.1,,,联合查询功能,
最后，在SPARQL1.1版本中，还增加了联合查询功能，即支持通过FROM和嵌套查询的方式，进>行多个数据源联合查询。,SPARQL,,,SPARQL1.1,
据不完全统计[4]，目前互联网上1.49×1011条三元组数据可以通过总计557个SPARQL查询终端查询获取，占全部三元组的99.87%[7]。,SPARQL查询终端,,,互联网上的三元组数据,
据不完全统计[4]，目前互联网上1.49×1011条三元组数据可以通过总计557个SPARQL查询终端查询获取，占全部三元组的99.87%[7]。,SPARQL查询终端,,,SPARQL查询终端,
为了便于读者更好地理解SPARQL查询、三元组模式、SPARQL基本图模式以及约束条件，图7-2展示了一个有关电影信息的知识图谱和SPARQL样例。,SPARQL查询、三元组模式、SPARQL基本图模式以及约束条件,,,一个有关电影信息的知识图谱和SPARQL样例,
为了便于读者更好地理解SPARQL查询、三元组模式、SPARQL基本图模式以及约束条件，图7-2展示了一个有关电影信息的知识图谱和SPARQL样例。,SPARQL查询,,,SPARQL查询,
图7-2有关电影信息的知识图谱和SPARQL样例SPARQL查询包括查询、插入和删除操作。,SPARQL查询,,,查询、插入和删除操作,
图7-2有关电影信息的知识图谱和SPARQL样例SPARQL查询包括查询、插入和删除操作。,SPARQL查询,,,查询、插入和删除操作。,
下面将以图7-2中的样例知识图谱和对应的SPARQL查询实例，分别介绍如何使用SPARQL对知识图谱进行数据查询、数据插入以及数据删除操作。,SPARQL查询实例,,,数据查询数据插入数据删除操作,
注意，图中的f1342、f1336、f1333以及p2556用来代指电影节点的IRIs。,f1342,,,图中的f1342,
7.2.1数据查询SPARQL官方标准定义了四种最终返回给用户查询结果的形式，代表着四种基本的查询功能，即SELECT、ASK、CONSTRUCT和DESCRIBE。,SPARQL,,,四种最终返回给用户查询结果的形式,
7.2.1数据查询SPARQL官方标准定义了四种最终返回给用户查询结果的形式，代表着四种基本的查询功能，即SELECT、ASK、CONSTRUCT和DESCRIBE。,SELECT,,,查询功能,
其中，SELECT是唯一可以返回知识图谱中图模式匹配具体结果给用户的形式，也是最常用的查询语句；ASK查询语句主要用于测试知识图谱中是否存在满足给定查询约束条件的数据，结果以Yes或No的形式返回，除此之外没有额外的信息返回；CONSTRUCT查询语句主要用于将图模式匹配结果生成新的RDF图；DESCRIBE查询语句用于查询与指定IRI相关的数据，注意和SELECT有区别。,SELECT,,,返回知识图谱中图模式匹配具体结果给用户的形式,
其中，SELECT是唯一可以返回知识图谱中图模式匹配具体结果给用户的形式，也是最常用的查询语句；ASK查询语句主要用于测试知识图谱中是否存在满足给定查询约束条件的数据，结果以Yes或No的形式返回，除此之外没有额外的信息返回；CONSTRUCT查询语句主要用于将图模式匹配结果生成新的RDF图；DESCRIBE查询语句用于查询与指定IRI相关的数据，注意和SELECT有区别。,ASK查询语句,,,测试知识图谱中是否存在满足给定查询约束条件的数据,
其中，SELECT是唯一可以返回知识图谱中图模式匹配具体结果给用户的形式，也是最常用的查询语句；ASK查询语句主要用于测试知识图谱中是否存在满足给定查询约束条件的数据，结果以Yes或No的形式返回，除此之外没有额外的信息返回；CONSTRUCT查询语句主要用于将图模式匹配结果生成新的RDF图；DESCRIBE查询语句用于查询与指定IRI相关的数据，注意和SELECT有区别。,CONSTRUCT查询语句,,,将图模式匹配结果生成新的RDF图,
其中，SELECT是唯一可以返回知识图谱中图模式匹配具体结果给用户的形式，也是最常用的查询语句；ASK查询语句主要用于测试知识图谱中是否存在满足给定查询约束条件的数据，结果以Yes或No的形式返回，除此之外没有额外的信息返回；CONSTRUCT查询语句主要用于将图模式匹配结果生成新的RDF图；DESCRIBE查询语句用于查询与指定IRI相关的数据，注意和SELECT有区别。,DESCRIBE查询语句,,,查询与指定IRI相关的数据,
下面结合实例分别对四种查询形式进行介绍。,四种查询形式,,,介绍,
1.SELECT的基本语法其中，“SELECT”指明了查询的形式。,SELECT,,,查询的形式,
1.SELECT的基本语法其中，“SELECT”指明了查询的形式。,SELECT,,,查询,
“SELECT”后面的“变量1变量2…”表示图匹配后想要查询的具体目标。,“SELECT”,,,图匹配后想要查询的具体目标,
“FROM”指明了数据源，在通常情况下，在单个知识图谱中查询时，默认不指明数据集的名称，即可以省略SPARQL查询中的FROM字段（后续其他形式的查询语句介绍中将不再提及FROM部分）。,FROM,,,SPARQL查询,
“FROM”指明了数据源，在通常情况下，在单个知识图谱中查询时，默认不指明数据集的名称，即可以省略SPARQL查询中的FROM字段（后续其他形式的查询语句介绍中将不再提及FROM部分）。,FROM,,,FROM,
“WHERE”语句后面的大括号中就是具体的基本图模式和约束条件（FILTER字段给出）。,“WHERE”语句,,,基本图模式和约束条件（FILTER字段给出）,
“WHERE”语句后面的大括号中就是具体的基本图模式和约束条件（FILTER字段给出）。,“WHERE”语句,,,英文名,
值得注意的是，“WHERE”语句后面至少应该包含一个基本图模式（在查询语法中，不同的三元组模式在大括号中用英文句点“.”间隔），而约束条件为可选项。,WHERE语句,,,英文句点“.”,
最后的修饰符[5]（Modifier）同样是可选项，主要用于对查询的结果进行一些处理，常见的有排序操作ORDER、限制结果数量操作LIMIT等。,最后的修饰符,,,可选项,
最后的修饰符[5]（Modifier）同样是可选项，主要用于对查询的结果进行一些处理，常见的有排序操作ORDER、限制结果数量操作LIMIT等。,最后的修饰符,,,Modifier,
典型的SELECT查询如图7-3所示。,SELECT查询,,,典型的SELECT查询,
图7-3典型的SELECT查询2.ASK的基本语法其中，“ASK”指明了查询的形式。,SELECT查询,,,典型的SELECT查询,
图7-3典型的SELECT查询2.ASK的基本语法其中，“ASK”指明了查询的形式。,ASK,,,查询,
“ASK”后面的内容和SELECT中的“WHERE”部分类似。,“ASK”,,,SELECT,
例如，如果想要查询图7-2中的知识图谱是否存在“Tim_Burton”这个人，那么对应的SPARQL查询语句为上述查询的结果将为“Yes”；假如图7-2中没有“Tim_Burton”节点，结果将为“No”。,SPARQL查询语句,,,查询图7-2中的知识图谱是否存在“Tim_Burton”这个人,
例如，如果想要查询图7-2中的知识图谱是否存在“Tim_Burton”这个人，那么对应的SPARQL查询语句为上述查询的结果将为“Yes”；假如图7-2中没有“Tim_Burton”节点，结果将为“No”。,等价,,,等价,
3.CONSTRUCT的基本语法其中，“CONSTRUCT”指明了查询的形式。,CONSTRUCT,,,查询的形式,
3.CONSTRUCT的基本语法其中，“CONSTRUCT”指明了查询的形式。,查询的形式,,,CONSTRUCT,
“CONSTRUCT”后面的“图模板”类似于基本图模式，指明了生成的RDF应该具有的基本三元组内容。,“CONSTRUCT”后面的“图模板”,,,基本图模式,
而“WHERE”语句后面的基本图模式和SELECT语句中的类似，用于图模式匹配和约束。,WHERE语句,,,基本图模式和SELECT语句,
而“WHERE”语句后面的基本图模式和SELECT语句中的类似，用于图模式匹配和约束。,“WHERE”语句,,,等价模式匹配和约束,
CONSTRUCT查询的基本流程为：首先执行“WHERE”语句进行图模式匹配，从知识图谱中抽取满足条件的目标变量；随后，针对每一个目标变量，替换图模板中的对应变量，生成最终的如，在图7-2中的知识图谱上运行如下CONSTRUCT查询语句：RDF图。,CONSTRUCT查询,,,图模板中变量的抽取和生成最终的RDF图,
CONSTRUCT查询的基本流程为：首先执行“WHERE”语句进行图模式匹配，从知识图谱中抽取满足条件的目标变量；随后，针对每一个目标变量，替换图模板中的对应变量，生成最终的如，在图7-2中的知识图谱上运行如下CONSTRUCT查询语句：RDF图。,等价,,,match,
CONSTRUCT查询的基本流程为：首先执行“WHERE”语句进行图模式匹配，从知识图谱中抽取满足条件的目标变量；随后，针对每一个目标变量，替换图模板中的对应变量，生成最终的如，在图7-2中的知识图谱上运行如下CONSTRUCT查询语句：RDF图。,英文名,,,图模式匹配,
例将得到如下新的RDF图：4.DESCRIBE的基本语法其中，“DESCRIBE”指明了查询的形式。,DESCRIBE,,,查询,
在“DESCRIBE”后面可以直接指明资源标识符，也可以用变量标识。,DESCRIBE,,,“DESCRIBE”,
“WHERE”语句后面的基本图模式和SELECT语句中的类似，用于图模式匹配和约束，不同之处在于DESCRIBE中的WHERE部分是可选项。,DESCRIBE,,,WHERE语句后面的基本图模式和SELECT语句中的类似，用于图模式匹配和约束,
“WHERE”语句后面的基本图模式和SELECT语句中的类似，用于图模式匹配和约束，不同之处在于DESCRIBE中的WHERE部分是可选项。,WHERE,,,where,
例如，想要在图7-2的知识图谱中获取所有和“Tim_Burton”相关的信息，可以运行如下的DESCRIBE查询语句：对应的结果为：7.2.2数据插入SPARQL支持通过INSERTDATA语句，将新的RDF三元组插入已有的RDF图中。,等价,,,equivalent,
例如，想要在图7-2的知识图谱中获取所有和“Tim_Burton”相关的信息，可以运行如下的DESCRIBE查询语句：对应的结果为：7.2.2数据插入SPARQL支持通过INSERTDATA语句，将新的RDF三元组插入已有的RDF图中。,英文名,,,equivalent,
具体的基本语法为：其中，INSERT_DATA指明了查询的形式。,SPO,,,具体的基本语法,
在INSERT_DATA后面可以是单条三元组，也可以是多条三元组构成的RDF图。,INSERT_DATA,,,单条三元组,
在INSERT_DATA后面可以是单条三元组，也可以是多条三元组构成的RDF图。,INSERT_DATA,,,插入数据,
在查询语法中，英文分号“;”可以用来连续插入头实体相同的三元组。,INSERT_DATA,,,插入数据,
如果RDF图中已经存在某条将要插入的三元组，那么该条三元组将被忽略。,RDF图中将要插入的三元组,,,忽略,
如果RDF图中已经存在某条将要插入的三元组，那么该条三元组将被忽略。,忽略,,,ignore,
例如，可以将如下的三元组插入图7-2的知识图谱中。,SPO,,,知识图谱,
例如，可以将如下的三元组插入图7-2的知识图谱中。,等价,,,equivalence,
对应的查询语句为：7.2.3数据删除SPARQL的删除语句支持通过DELETE_DATA语句将RDF图中已有的某些三元组删除。,SPARQL的删除语句,,,删除三元组,
对应的查询语句为：7.2.3数据删除SPARQL的删除语句支持通过DELETE_DATA语句将RDF图中已有的某些三元组删除。,DELETE_DATA,,,删除语句,
具体的基本语法为：其中，DELETE_DATA指明了查询的形式。,SPO,,,具体的基本语法,
具体的基本语法为：其中，DELETE_DATA指明了查询的形式。,具体的基本语法,,,等价查询,
与插入语句类似，在DELETE_DATA后可以是单条三元组，也可以是多条三元组构成的RDF图。,DELETE_DATA,,,插入语句,
与插入语句类似，在DELETE_DATA后可以是单条三元组，也可以是多条三元组构成的RDF图。,DELETE_DATA,,,插入语句,
如果RDF图中已经存在将要删除的三元组或RDF图，那么该条三元组或RDF图在语句执行后将被删除。,删除三元组或RDF图,,,如果RDF图中已经存在将要删除的三元组或RDF图,
如果RDF图中已经存在将要删除的三元组或RDF图，那么该条三元组或RDF图在语句执行后将被删除。,删除三元组或RDF图,,,如果RDF图中已经存在将要删除的三元组或RDF图，那么该条三元组或RDF图在语句执行后将被删除。,
例如，可以将如下的三元组从图7-3所示的知识图谱中删除：对应的查询语句为：以上主要介绍了SPARQL的查询、插入以及删除方法，这是最基本的三种查询形式。,SPARQL,,,SPARQL,
SPARQL虽然没有支持更新操作的语法，不过可以通过DELETE_DATA和INSERT_DATA结合使用来实现。,SPARQL,,,不支持更新操作的语法,
SPARQL虽然没有支持更新操作的语法，不过可以通过DELETE_DATA和INSERT_DATA结合使用来实现。,SPARQL,,,sparql,
此外，在SPARQL1.1版本中增加了联合查询、简单蕴涵推理等内容，感兴趣的读者可以查阅相关标准规范。,SPARQL,,,SPARQL1.1版本,
此外，在SPARQL1.1版本中增加了联合查询、简单蕴涵推理等内容，感兴趣的读者可以查阅相关标准规范。,SPARQL,,,联合查询,
此外，在SPARQL1.1版本中增加了联合查询、简单蕴涵推理等内容，感兴趣的读者可以查阅相关标准规范。,SPARQL,,,简单蕴涵推理,
7.3语义数据搜索目前，得益于W3C完成RDF语言和协议的标准化，互联网上的不同RDF数据能够以RDF链接的形式链接在一起，形成一个完整的语义链接数据网络，也称作数据Web。,语义数据搜索,,,数据Web,
7.3语义数据搜索目前，得益于W3C完成RDF语言和协议的标准化，互联网上的不同RDF数据能够以RDF链接的形式链接在一起，形成一个完整的语义链接数据网络，也称作数据Web。,语义数据搜索,,,data Web,
并且，不同的场景都能够有一个公共的术语词汇表，以及精确的术语含义说明。,概念/术语词汇表,,,不同的场景,
并且，不同的场景都能够有一个公共的术语词汇表，以及精确的术语含义说明。,公共的术语词汇表,,,common term vocabulary list,
并且，不同的场景都能够有一个公共的术语词汇表，以及精确的术语含义说明。,精确的术语含义说明,,,precise term meaning explanation,
数据Web提供了丰富的信息，很多传统的搜索引擎都尝试将链接数据整合到其搜索结果中，如图7-4所示。,数据Web,,,将链接数据整合到其搜索结果中,
数据Web提供了丰富的信息，很多传统的搜索引擎都尝试将链接数据整合到其搜索结果中，如图7-4所示。,数据Web,,,dataWeb,
图7-4基于链接数据的语义搜索然而，有效地对整个数据Web进行精准的语义搜索还面临如下挑战：●可扩展性。,语义搜索,,,整个数据Web,
图7-4基于链接数据的语义搜索然而，有效地对整个数据Web进行精准的语义搜索还面临如下挑战：●可扩展性。,语义搜索,,,semantic search,
对数据Web的有效利用要求基础架构能在大规模和不断增长的内链数据上扩展和应用。,数据Web,,,基础架构,
●异构性。,异构性,,,SPO三元组,
如图7-5所示，主要包括：如何进一步整合数据源（补充RDF链接）；如何从不同的数据源中找到与查询相关的数据；如何合并来自不同数据源的查询结果。,SPO,,,如何进一步整合数据源（补充RDF链接）,
如图7-5所示，主要包括：如何进一步整合数据源（补充RDF链接）；如何从不同的数据源中找到与查询相关的数据；如何合并来自不同数据源的查询结果。,SPO,,,如何从不同的数据源中找到与查询相关的数据,
如图7-5所示，主要包括：如何进一步整合数据源（补充RDF链接）；如何从不同的数据源中找到与查询相关的数据；如何合并来自不同数据源的查询结果。,SPO,,,如何合并来自不同数据源的查询结果。,
如图7-5所示，主要包括：如何进一步整合数据源（补充RDF链接）；如何从不同的数据源中找到与查询相关的数据；如何合并来自不同数据源的查询结果。,SPO,,,三元组,
图7-5多源知识图谱的异构性●不确定性。,多源知识图谱的异构性,,,不确定性,
用户事先不能准确地了解自己的需求，所以需求的描述往往不完整。,需求的描述,,,用户不能准确地了解自己的需求,
这就要求语义搜索系统支持以不精确的方式匹配需求和数据，并对结果进行排序，能够足够灵活以应对条件的变化。,语义搜索系统,,,以不精确的方式匹配需求和数据，并对结果进行排序,
这就要求语义搜索系统支持以不精确的方式匹配需求和数据，并对结果进行排序，能够足够灵活以应对条件的变化。,语义搜索系统,,,semantic search system,
这些搜索引擎的基本组成都包括三元组存储、索引构建、查询处理及排序等，具体内容如下：1.三元组存储基于IR的存储方式，即单一的数据结构和查询算法，针对文本数据进行排序检索来优化。,搜索引擎,,,三元组存储、索引构建、查询处理及排序,
这些搜索引擎的基本组成都包括三元组存储、索引构建、查询处理及排序等，具体内容如下：1.三元组存储基于IR的存储方式，即单一的数据结构和查询算法，针对文本数据进行排序检索来优化。,三元组存储,,,基于IR的存储方式,
其优点是高度可压缩、可访问，且排序是整个存储索引的组成部分，缺点是不能处理结构化查询中简单的选择、联结等操作。,倒排索引,,,存储索引的优点,
其优点是高度可压缩、可访问，且排序是整个存储索引的组成部分，缺点是不能处理结构化查询中简单的选择、联结等操作。,压缩索引,,,compressed index,
基于DB的存储方式，即多种索引和查询算法，以适应各种结构化数据的复杂查询需求。,基于DB的存储方式,,,多种索引和查询算法,
其优点是能够完成复杂的选择、联结等操作，进而支持SPARQL结构化查询，并且能应对高动态场景（许多插入或删除），缺点是空间开销增大和访问有一定的局限性，并且无法集成对检索结果的排序。,SPARQL结构化查询,,,能够完成复杂的选择、联结等操作,
其优点是能够完成复杂的选择、联结等操作，进而支持SPARQL结构化查询，并且能应对高动态场景（许多插入或删除），缺点是空间开销增大和访问有一定的局限性，并且无法集成对检索结果的排序。,SPARQL,,,结构化查询,
原生存储（Native_Stores）即直接以RDF图形式的存储方式。,原生存储,,,直接以RDF图形式的存储方式,
原生存储（Native_Stores）即直接以RDF图形式的存储方式。,原生存储,,,Native_Stores,
其优点是高度可压缩，可访问类似IR的检索排序，支持选择、联结等操作，并且可在亚秒级时间内在单台机器上完成对TB级数据的查询，以及支持高动态场景，缺点是没有事务、恢复等功能。,Elasticsearch,,,检索排序,
其优点是高度可压缩，可访问类似IR的检索排序，支持选择、联结等操作，并且可在亚秒级时间内在单台机器上完成对TB级数据的查询，以及支持高动态场景，缺点是没有事务、恢复等功能。,倒排索引,,,inverted index,
2.索引构建目前主要的方式都是重用IR索引来索引RDF语义数据。,索引构建,,,重用IR索引来索引RDF语义数据,
IR索引主要包括以下几个核心概念：文档、字段（例如，标题、摘要、正文……）、词语、Posting_list和Positionlist[6]。,IR索引,,,几个核心概念,
IR索引主要包括以下几个核心概念：文档、字段（例如，标题、摘要、正文……）、词语、Posting_list和Positionlist[6]。,Posting_list,,,IR索引中Posting_list的概念,
而利用IR索引来索引RDF数据的核心思想是将RDF转换成具有fields和terms的虚拟文档，如图7-6所示。,IR索引RDF数据,,,将RDF转换成具有fields和terms的虚拟文档,
而利用IR索引来索引RDF数据的核心思想是将RDF转换成具有fields和terms的虚拟文档，如图7-6所示。,IR索引RDF数据,,,将RDF转换成具有fields和terms的虚拟文档,
图7-6基于IR索引的RDF语义数据索引示例值得一提的是，语义Web上的链接数据规模已经非常庞大，不可能对其完全重建索引，需要采用增量索引的方法。,基于IR索引的RDF语义数据索引,,,based on IR index of RDF semantic data index,
在增量索引的过程中，因为移动大量元素非常耗时，所以还需要设计基于块的索引扩展，同时考虑块大小对索引性能的影响，最后做到权衡索引更新、搜索和索引块大小之间的平衡。,基于块的索引扩展,,,设计基于块的索引扩展,
3.查询处理和排序首先，查询处理的核心步骤是给定查询输入，将其构建成复杂的结构化查询。,查询处理,,,给定查询输入，将其构建成复杂的结构化查询,
3.查询处理和排序首先，查询处理的核心步骤是给定查询输入，将其构建成复杂的结构化查询。,查询处理,,,query processing,
在此基础上，执行生成的结构化查询。,SPO,,,生成结构化查询,
不同拓扑结构的结构化查询的查询效率往往有很大不同[7]，如图7-7所示，从DBpedia和LUBM[14]的查询日志中抽取的5个典型的查询拓扑结构，其相应时间明显不同。,查询拓扑结构,,,query topology structure,
