input,subject,subject_type,relation,object,object_type
这类语言的优点是可以时刻知道自己在图中所处的位置，以及是如何到达该位置的；缺点是用户需要“认识路”！与受到SQL影响的声明式语言SPARQL和Cypher不同，Gremlin更像一种函数式的编程语言接口。,Gremlin,,,函数式的编程语言接口,
这类语言的优点是可以时刻知道自己在图中所处的位置，以及是如何到达该位置的；缺点是用户需要“认识路”！与受到SQL影响的声明式语言SPARQL和Cypher不同，Gremlin更像一种函数式的编程语言接口。,Gremlin,,,函数式的编程语言接口,
下面通过几个例子认识Gremlin语言，假设用g代表图3-3中的属性图。,Gremlin,,,图查询语言,
（1）列出图中所有节点的属性输出：说明：V表示节点集合。,V,,,列出图中所有节点的属性,
（1）列出图中所有节点的属性输出：说明：V表示节点集合。,V,,,节点集合,
（2）列出图中所有的边输出：说明：E表示边集合。,E,,,边,
（2）列出图中所有的边输出：说明：E表示边集合。,E,,,边,
（3）查询从节点1出发的标签为“认识”的边输出：说明：v(1)选取id为1的节点；outE表示节点的出边集合，outE(’认识’)是标签为“认识”的出边集合。,等价,,,equivalence,
（4）查询节点1认识的30岁以上的程序员参加的项目名称输出：说明：out(’认识’)选取标签为“认识”的出边指向的邻接节点集合；filter为过滤器，filter{it.年龄>30}的意思是后面只处理年龄大于30的节点。,认识,,,选取标签为“认识”的出边指向的邻接节点集合,
对比该查询的SPARQL和Cypher版本。,SPARQL,,,对比该查询的SPARQL和Cypher版本。,
对比该查询的SPARQL和Cypher版本。,Cypher,,,对比该查询的SPARQL和Cypher版本。,
3.2常见知识图谱存储方法本节介绍三类知识图谱数据库：基于关系数据库的存储方案、面向RDF的三元组数据库和原生图数据库，多数系统给出了演示操作步骤。,基于关系数据库的存储方案,,,based on relation database storage,
3.2.1基于关系数据库的存储方案关系数据库拥有40多年的发展历史，从理论到实践有着一整套成熟体系。,关系数据库,,,关系数据库的存储方案,
在历史上，关系数据库曾经取代了层次数据库和网状数据库；成功吸收容纳了面向对象数据库和XML数据库，成为现今数据管理的主流数据库产品。,关系数据库,,,历史数据管理的主流数据库产品,
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,商业数据库,,,Oracle,
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,商业数据库,,,DB2,
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,商业数据库,,,SQL_Server,
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,开源数据库,,,PostgreSQL,
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,开源数据库,,,MySQL,
因此基于历史上的成功经验，人们容易想到使用关系数据库存储知识图谱。,知识图谱,,,关系数据库,
因此基于历史上的成功经验，人们容易想到使用关系数据库存储知识图谱。,关系数据库,,,relational database,
基于关系数据库的存储方案是目前知识图谱采用的一种主要存储方法。,基于关系数据库的存储方案,,,知识图谱存储方法,
本小节将按照时间发展顺序简要介绍各种基于关系表的知识图谱存储结构，包括三元组表、水平表、属性表、垂直划分、六重索引和DB2RDF。,基于关系表的知识图谱存储结构,,,三元组表,
本小节将按照时间发展顺序简要介绍各种基于关系表的知识图谱存储结构，包括三元组表、水平表、属性表、垂直划分、六重索引和DB2RDF。,基于关系表的知识图谱存储结构,,,基于关系表的知识图谱存储结构,
如图3-4所示，下面以摘自DBpedia数据集[23]的RDF数据作为知识图谱进行讲解和举例。,RDF数据,,,知识图谱进行讲解和举例,
该知识图谱描述了IBM公司及其创始人Charles_Flint和Google公司及其创始人LarryPage的一些属性和联系。,IBM公司,,,知识图谱,
对于其他格式的知识图谱，这些存储方案同样适用。,知识图谱的存储方案,,,其他格式的知识图谱,
图3-4摘自DBpedia数据集的RDF知识图谱1.三元组表三元组表是将知识图谱存储到关系数据库的最简单、最直接的办法，就是在关系数据库中建立一张具有3列的表，该表的模式为：三元组表(主语，谓语，宾语)将知识图谱中的每条三元组存储为三元组表中的一行记录。,三元组表,,,triple table,
表3-1是图3-4中知识图谱对应的三元组表，由于一共有21行，限于篇幅仅列出了前5行。,表3-1,,,图3-4中知识图谱对应的三元组表,
表3-1是图3-4中知识图谱对应的三元组表，由于一共有21行，限于篇幅仅列出了前5行。,图3-4中知识图谱,,,表3-1,
表3-1三元组表三元组表存储方案虽然简单明了，但三元组表的行数与知识图谱的边数一样，其最大问题在于将知识图谱查询翻译为SQL查询后的三元组表自连接。,三元组表,,,存储方案,
表3-1三元组表三元组表存储方案虽然简单明了，但三元组表的行数与知识图谱的边数一样，其最大问题在于将知识图谱查询翻译为SQL查询后的三元组表自连接。,三元组表,,,triad table,
例如，如图3-5所示的SPARQL查询是查找1850年出生且1934年逝世的创办了某公司的人，翻译为等价的SQL查询后如图3-6所示，这里三元组表的表名为t。,SPARQL查询,,,查找1850年出生且1934年逝世的创办了某公司的人,
例如，如图3-5所示的SPARQL查询是查找1850年出生且1934年逝世的创办了某公司的人，翻译为等价的SQL查询后如图3-6所示，这里三元组表的表名为t。,SPARQL查询,,,查找1850年出生且1934年逝世的创办了某公司的人,
一般自连接的数量与SPARQL中三元组模式数量相当。,自连接,,,SPARQL中三元组模式数量相当,
当三元组表规模较大时，多个自连接操作会使SQL查询性能低下。,自连接操作,,,降低SQL查询性能低下,
采用三元组表存储方案的代表是RDF数据库系统3store[24]。,RDF数据库系统3store,,,采用三元组表存储方案,
图3-5一个星形SPARQL查询图3-6三元组表方案中SPARQL查询转换为等价的SQL查询2.水平表水平表存储方案同样非常简单，与三元组表不同，其每行记录存储一个知识图谱中一个主语的所有谓语和宾语。,SPARQL查询,,,一个星形SPARQL查询,
图3-5一个星形SPARQL查询图3-6三元组表方案中SPARQL查询转换为等价的SQL查询2.水平表水平表存储方案同样非常简单，与三元组表不同，其每行记录存储一个知识图谱中一个主语的所有谓语和宾语。,SPARQL查询,,,一个星形SPARQL查询,
实际上，水平表就相当于知识图谱的邻接表。,水平表,,,知识图谱的邻接表,
表3-2是图3-4中知识图谱对应的水平表，共有5行、13列，限于篇幅省略了若干列。,表3-2,,,图3-4中知识图谱对应的水平表,
表3-2是图3-4中知识图谱对应的水平表，共有5行、13列，限于篇幅省略了若干列。,水平表,,,table,
不难看出，水平表的列数是知识图谱中不同谓语的数量，行数是知识图谱中不同主语的数量。,水平表的列数,,,知识图谱中不同谓语的数量,
不难看出，水平表的列数是知识图谱中不同谓语的数量，行数是知识图谱中不同主语的数量。,水平表的行数,,,知识图谱中不同主语的数量,
不难看出，水平表的列数是知识图谱中不同谓语的数量，行数是知识图谱中不同主语的数量。,水平表的列数,,,知识图谱中不同谓语的数量,
不难看出，水平表的列数是知识图谱中不同谓语的数量，行数是知识图谱中不同主语的数量。,水平表的行数,,,知识图谱中不同主语的数量,
表3-2水平表在水平表存储方案中，图3-5所示的SPARQL查询可以等价地翻译为图3-7中的SQL查询。,水平表存储方案,,,图3-5所示的SPARQL查询,
表3-2水平表在水平表存储方案中，图3-5所示的SPARQL查询可以等价地翻译为图3-7中的SQL查询。,水平表存储方案,,,水平表存储方案,
这里水平表的表名为t。,水平表,,,t,
可见，与三元组表相比，水平表的查询大为简化，仅需单表查询即可完成该任务，不用进行连接操作。,水平表,,,单表查询完成该任务，不用进行连接操作,
可见，与三元组表相比，水平表的查询大为简化，仅需单表查询即可完成该任务，不用进行连接操作。,水平表,,,level table,
采用水平表存储方案的代表是早期的RDF数据库系统DLDB[25]。,DLDB,,,采用水平表存储方案,
采用水平表存储方案的代表是早期的RDF数据库系统DLDB[25]。,采用水平表存储方案,,,DLDB,
3.属性表属性表（Property_Table）存储方案是对水平表的细化，将同类主语分到一个表中，不同类主语分到不同表中。,属性表属性表,,,水平表的细化,
3.属性表属性表（Property_Table）存储方案是对水平表的细化，将同类主语分到一个表中，不同类主语分到不同表中。,属性表属性表,,,Property_Table,
这样就解决了表中列的数目过多的问题。,表中的列,,,表中列的数目过多的问题,
对于图3-5中的SPARQL查询，在属性表存储方案上等价的SQL查询如图3-9所示；该查询与图3-7中水平表上查询的唯一区别是将表名由t变为了person。,图3-5中的SPARQL查询,,,属性表存储方案上等价的SQL查询,
对于图3-5中的SPARQL查询，在属性表存储方案上等价的SQL查询如图3-9所示；该查询与图3-7中水平表上查询的唯一区别是将表名由t变为了person。,SPARQL查询,,,在属性表存储方案上等价的SQL查询,
图3-8属性表图3-9属性表方案中SPARQL查询转换为等价的SQL查询属性表既克服了三元组表的自连接问题，又解决了水平表中列数目过多的问题。,属性表,,,SPARQL查询转换为等价的SQL查询,
图3-8属性表图3-9属性表方案中SPARQL查询转换为等价的SQL查询属性表既克服了三元组表的自连接问题，又解决了水平表中列数目过多的问题。,属性表,,,SPARQL查询,
实际上，水平表方案是属性表存储方案的一种极端情况，即水平表是将所有主语划归为一类，因此属性表中的空值问题与水平表相比会大为缓解。,水平表方案,,,属性表存储方案,
实际上，水平表方案是属性表存储方案的一种极端情况，即水平表是将所有主语划归为一类，因此属性表中的空值问题与水平表相比会大为缓解。,水平表方案,,,属性表存储方案的一种极端情况,
采用属性表存储方案的代表是RDF三元组库Jena[26]。,RDF三元组库Jena,,,采用属性表存储方案,
