input,subject,subject_type,relation,object,object_type
知识融合是知识图谱构建中不可缺少的一环，知识融合体现了开放链接数据中互联的思想。,知识融合,,,knowledge fusion,
良好的融合方法能有效地避免信息孤岛，使得知识的连接更加稠密，提升知识应用价值，因此知识融合是构建知识图谱过程中的核心工作与重点研究方向。,知识融合,,,构建知识图谱过程中的核心工作与重点研究方向。,
良好的融合方法能有效地避免信息孤岛，使得知识的连接更加稠密，提升知识应用价值，因此知识融合是构建知识图谱过程中的核心工作与重点研究方向。,知识融合,,,构建知识图谱过程中的核心工作与重点研究方向,
知识图谱中的知识融合包含两个方面，即数据模式层的融合和数据层的融合。,知识融合,,,数据模式层的融合,
知识图谱中的知识融合包含两个方面，即数据模式层的融合和数据层的融合。,知识融合,,,数据层的融合,
知识图谱中的知识融合包含两个方面，即数据模式层的融合和数据层的融合。,知识融合,,,knowledge fusion,
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。,数据模式层的融合,,,概念合并,
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。,数据模式层的融合,,,概念上下位关系合并,
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。,数据模式层的融合,,,概念的属性定义合并,
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。,概念合并,,,concept merging,
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。,概念上下位关系合并,,,concepts's subclass relationship merging,
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。,概念的属性定义合并,,,concepts's attribute definition merging,
在映射的过程中，一般会通过设置融合规则确保数据的统一。,融合规则,,,设置融合规则确保数据的统一,
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。,数据层的融合,,,实体合并,
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。,数据层的融合,,,实体属性融合,
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。,数据层的融合,,,冲突检测与解决,
进行知识融合时需要考虑使用什么方式实现不同来源、不同形态知识的融合；如何对海量知识进行高效融合[7]；如何对新增知识进行实时融合以及如何进行多语言融合等问题[8]。,知识融合,,,考虑使用什么方式实现不同来源、不同形态知识的融合,
关于知识融合的详细知识和技术，请参考本书第5章。,知识融合,,,本书第5章,
9.1.5知识计算知识计算是领域知识图谱能力输出的主要方式，通过知识图谱本身能力为传统的应用形态赋能，提升服务质量和效率。,知识计算,,,领域知识图谱能力输出,
其中，图挖掘计算和知识推理是最具代表性的两种能力，如何将这两种能力与传统应用相结合是需要解决的一个关键问题。,图挖掘计算,,,知识推理,
其中，图挖掘计算和知识推理是最具代表性的两种能力，如何将这两种能力与传统应用相结合是需要解决的一个关键问题。,图挖掘计算,,,graph mining computation,
其中，图挖掘计算和知识推理是最具代表性的两种能力，如何将这两种能力与传统应用相结合是需要解决的一个关键问题。,知识推理,,,knowledge reasoning,
知识推理一般运用于知识发现、冲突与异常检测，是知识精细化工作和决策分析的主要实现方式。,知识推理,,,知识发现、冲突与异常检测,
知识推理又可以分为基于本体的推理和基于规则的推理。,知识推理,,,基于本体的推理,
知识推理又可以分为基于本体的推理和基于规则的推理。,知识推理,,,基于规则的推理,
一般需要依据行业应用的业务特征进行规则的定义，并基于本体结构与所定义的规则执行推理过程，给出推理结果。,本体,,,依据行业应用的业务特征进行规则的定义，并基于本体结构与所定义的规则执行推理过程，给出推理结果。,
一般需要依据行业应用的业务特征进行规则的定义，并基于本体结构与所定义的规则执行推理过程，给出推理结果。,本体结构,,,ontology structure,
知识推理的关键问题包括：大数据量下的快速推理，记忆对于增量知识和规则的快速加载[9]。,知识推理,,,大数据量下的快速推理、记忆对于增量知识和规则的快速加载,
知识推理的关键问题包括：大数据量下的快速推理，记忆对于增量知识和规则的快速加载[9]。,知识推理的关键问题,,,大数据量下的快速推理,
知识推理的关键问题包括：大数据量下的快速推理，记忆对于增量知识和规则的快速加载[9]。,知识推理的关键问题,,,记忆对于增量知识和规则的快速加载,
知识图谱的挖掘计算与分析指基于图论的相关算法，实现对图谱的探索与挖掘。,知识图谱的挖掘计算与分析,,,基于图论的相关算法，实现对图谱的探索与挖掘。,
图计算能力可辅助传统的推荐、搜索类应用。,图计算能力,,,传统的推荐、搜索类应用,
关于知识推理与分析的详细知识和技术，请参考本书的第6章。,知识推理与分析,,,本书的第6章,
9.1.6知识应用知识应用是指将知识图谱特有的应用形态与领域数据和业务场景相结合，助力领域业务转型。,知识应用,,,知识图谱特有的应用形态与领域数据和业务场景相结合，助力领域业务转型,
知识图谱的典型应用包括语义搜索、智能问答以及可视化决策支持。,知识图谱的应用,,,语义搜索、智能问答以及可视化决策支持,
如何针对业务需求设计实现知识图谱应用，并基于数据特点进行优化调整，是知识图谱应用的关键研究内容。,知识图谱应用,,,针对业务需求设计实现知识图谱应用，并基于数据特点进行优化调整,
其中，语义搜索是指基于知识图谱中的知识，解决传统搜索中遇到的关键字语义多样性及语义消歧的难题，通过实体链接实现知识与文档的混合检索。,语义搜索,,,知识图谱中的知识,
其中，语义搜索是指基于知识图谱中的知识，解决传统搜索中遇到的关键字语义多样性及语义消歧的难题，通过实体链接实现知识与文档的混合检索。,语义搜索,,,基于知识图谱中的知识，解决传统搜索中遇到的关键字语义多样性及语义消歧的难题，通过实体链接实现知识与文档的混合检索,
语义检索需要考虑如何解决自然语言输入带来的表达多样性问题，同时需要解决语言中实体的歧义性问题。,语义检索,,,解决自然语言输入带来的表达多样性问题,
语义检索需要考虑如何解决自然语言输入带来的表达多样性问题，同时需要解决语言中实体的歧义性问题。,语义检索,,,解决语言中实体的歧义性问题,
而智能问答是指针对用户输入的自然语言进行理解，从知识图谱或目标数据中给出用户问题的答案。,智能问答,,,知识图谱或目标数据给出用户问题的答案,
智能问答的关键技术及难点包括：1）准确的语义解析，如何正确理解用户的真实意图。,智能问答的关键技术及难点,,,准确的语义解析,
智能问答的关键技术及难点包括：1）准确的语义解析，如何正确理解用户的真实意图。,智能问答的关键技术及难点,,,准确的语义解析,
2）对于返回的答案，如何评分以确定优先级顺序。,返回的答案,,,评分以确定优先级顺序,
可视化决策支持则指通过提供统一的图形接口，结合可视化、推理、检索等，为用户提供信息获取的入口。,可视化决策支持,,,信息获取的入口,
对于可视化决策支持，需要考虑的关键问题包括：如何通过可视化方式辅助用户快速发现业务模式；如何提升可视化组件的交互友好程度，例如高效地缩放和导航；大规模图环境下底层算法的效率。,可视化决策支持,,,通过可视化方式辅助用户快速发现业务模式,
对于可视化决策支持，需要考虑的关键问题包括：如何通过可视化方式辅助用户快速发现业务模式；如何提升可视化组件的交互友好程度，例如高效地缩放和导航；大规模图环境下底层算法的效率。,可视化决策支持,,,提升可视化组件的交互友好程度,
对于可视化决策支持，需要考虑的关键问题包括：如何通过可视化方式辅助用户快速发现业务模式；如何提升可视化组件的交互友好程度，例如高效地缩放和导航；大规模图环境下底层算法的效率。,可视化决策支持,,,大规模图环境下底层算法的效率,
关于知识图谱的搜索及问答技术，请参考本书的第7章和第8章。,知识图谱的搜索及问答技术,,,本书的第7章和第8章,
但在一些新兴领域，知识体系欠缺完备性，一部分知识适用于自顶向下构建，但也有很大一部分数据未成体系，这时则需要通过自底向上的方式对这类知识进行基于数据驱动的方式进行构建。,自底向上的知识构建方式,,,基于数据驱动的方式进行构建,
但在一些新兴领域，知识体系欠缺完备性，一部分知识适用于自顶向下构建，但也有很大一部分数据未成体系，这时则需要通过自底向上的方式对这类知识进行基于数据驱动的方式进行构建。,自顶向下构建,,,top-down,
但在一些新兴领域，知识体系欠缺完备性，一部分知识适用于自顶向下构建，但也有很大一部分数据未成体系，这时则需要通过自底向上的方式对这类知识进行基于数据驱动的方式进行构建。,自底向上方式,,,bottom-up,
因此，通常在领域内，尤其新兴领域，建模时会将自顶向下和自低向上的构建方法相结合。,自顶向下,,,自顶向下的构建方法,
因此，通常在领域内，尤其新兴领域，建模时会将自顶向下和自低向上的构建方法相结合。,自底向上,,,自底向上的构建方法,
国内外现有可借助的建模工具以Protégé、PlantData为代表。,Protégé,,,建模工具,
Protégé[2]是一套基于RDF（S）、OWL等语义网规范的开源本体编辑器，拥有图形化界面，适用于原型构建场景。,Protégé,,,开源本体编辑器,
Protégé同时提供在线版本的WebProtégé，方便在线进行知识图谱语义本体的自动构建。,Protégé,,,在线版本的WebProtégé,
PlantData[3]知识建模工具是一款商用知识图谱智能平台软件。,PlantData,,,知识图谱智能平台软件,
该软件提供了本体概念类、关系、属性和实例的定义和编辑，屏蔽了具体的本体描述语言，用户只需在概念层次上进行领域本体模型的构建，使得建模更加便捷。,OBO-CP,,,本体概念类,
该软件提供了本体概念类、关系、属性和实例的定义和编辑，屏蔽了具体的本体描述语言，用户只需在概念层次上进行领域本体模型的构建，使得建模更加便捷。,本体概念类,,,ontology concept class,
该软件提供了本体概念类、关系、属性和实例的定义和编辑，屏蔽了具体的本体描述语言，用户只需在概念层次上进行领域本体模型的构建，使得建模更加便捷。,本体关系,,,ontology relationship,
该软件提供了本体概念类、关系、属性和实例的定义和编辑，屏蔽了具体的本体描述语言，用户只需在概念层次上进行领域本体模型的构建，使得建模更加便捷。,本体属性,,,ontology property,
该软件提供了本体概念类、关系、属性和实例的定义和编辑，屏蔽了具体的本体描述语言，用户只需在概念层次上进行领域本体模型的构建，使得建模更加便捷。,本体实例,,,ontology instance,
为保证可靠性，数据模式的构建基本都经过了人工校验，因此知识融合的关键任务是数据层的融合。,知识融合,,,数据层的融合,
为保证可靠性，数据模式的构建基本都经过了人工校验，因此知识融合的关键任务是数据层的融合。,知识融合,,,data mode building,
工业界在进行知识融合时，通常在知识抽取环节中就对数据进行控制，以减少融合过程中的难度及保证数据的质量。,知识融合,,,知识抽取环节中就对数据进行控制,
在这些方面，工业界均做了不同角度的尝试，如DBpedia_Mapping[4]采用属性映射的方式进行知识融合。,知识融合,,,knowledge fusion,
zhishi.me采用离线融合的方式识别实体间的sameAs关系，完成知识融合[10]，并通过双语主题模型，针对中英文下知识体系进行跨语言融合[11]。,zhishi.me,,,知识融合,
zhishi.me采用离线融合的方式识别实体间的sameAs关系，完成知识融合[10]，并通过双语主题模型，针对中英文下知识体系进行跨语言融合[11]。,zhishi.me,,,知识融合,
接着，需要根据数据源的不同进行知识获取，其方法主要分为三种：第一种是使用D2R工具，该方法主要针对结构化数据，通过D2R工具将关系数据映射为RDF数据。,知识获取,,,know how,
常用的开源D2R工具有D2RQ[5]、D2R_Server[6]、DB2triples[7]等。,D2RQ,,,开源D2R工具,
常用的开源D2R工具有D2RQ[5]、D2R_Server[6]、DB2triples[7]等。,D2RQ,,,D2RQ,
第二种是使用包装器，该方法主要针对半结构化数据，通过使用构建面向站点的包装器解析特定网页、标记语言文本。,面向站点的包装器,,,半结构化数据,
第二种是使用包装器，该方法主要针对半结构化数据，通过使用构建面向站点的包装器解析特定网页、标记语言文本。,面向站点的包装器,,,"build a wrapper for a website, which is mainly used to parse semi-structured data",
包装器通常需要根据目标数据源编写特定的程序，因此学者们的研究主要集中于包装器的自动生成。,包装器,,,自动生成目标数据源特定的程序,
Ion_Muslea等人[12]基于层次化信息抽取的思想，提出了一个包装器自动生成算法“STALKER”;Alberto为“Wargo”的半自动生成包装器的工具。,STALKER,,,包装器自动生成算法,
Pan等人[13]开发了一个名第三种是借助信息抽取的方法，该方法主要针对非结构化的文本。,概念/SPO,,,Pan等人[13]开发了一个,
Pan等人[13]开发了一个名第三种是借助信息抽取的方法，该方法主要针对非结构化的文本。,等价,,,等价,
按照抽取范围的不同，文本抽取可分为OpenIE和CloseIE两种。,文本抽取,,,OpenIE,
按照抽取范围的不同，文本抽取可分为OpenIE和CloseIE两种。,文本抽取,,,CloseIE,
OpenIE面向开放领域抽取信息，是一种基于语言学模式的抽取，无法得知待抽取知识的关系类型，通常抽取规模大、精度较低。,OpenIE,,,面向开放领域抽取信息,
OpenIE面向开放领域抽取信息，是一种基于语言学模式的抽取，无法得知待抽取知识的关系类型，通常抽取规模大、精度较低。,OpenIE,,,面向开放领域抽取信息,
典型的工具有ReVerb[8]、TextRunner[9]等。,典型的工具,,,ReVerb[8]、TextRunner[9],
CloseIE面向特定领域抽取信息，因其基于领域专业知识进行抽取，可以预先定义好抽取的关系类型，且通常规模小、精度较高。,CloseIE,,,面向特定领域抽取信息,
CloseIE面向特定领域抽取信息，因其基于领域专业知识进行抽取，可以预先定义好抽取的关系类型，且通常规模小、精度较高。,CloseIE,,,Close Information Extraction,
DeepDive是CloseIE场景中的典型工具，其基于联合推理的算法让用户只需要关心特征本身，让开发者更多地思考特征而不是算法。,DeepDive,,,CloseIE场景中的典型工具,
DeepDive是CloseIE场景中的典型工具，其基于联合推理的算法让用户只需要关心特征本身，让开发者更多地思考特征而不是算法。,DeepDive,,,联合推理的算法,
9.2.2自底向上的构建方法在领域中部分没有完整知识体系的数据需要采用自底向上的方法进行构建，这与通用知识图谱的构建方法类似，主要依赖开放链接数据集和百科，从这些结构化的知识中进行自动学习，主要分为实体与概念的学习、上下位关系的学习、数据模式的学习。,自底向上的构建方法,,,自底向上的方法,
开放链接数据集和百科中拥有丰富的实体和概念信息，数据通常以一定的结构组织生成，因此从这类数据源中抽取概念和实体较为容易。,开放链接数据集,,,open link data set,
开放链接数据集和百科中拥有丰富的实体和概念信息，数据通常以一定的结构组织生成，因此从这类数据源中抽取概念和实体较为容易。,百科,,,encyclopedia,
对于概念的学习，关键[14]提出了一种基于语言学和基于统计学的多策略概念抽取方法，该方法提高了领域内概念抽取的效果。,概念的学习,,,基于语言学和基于统计学的多策略概念抽取方法,
实体对齐的目标是将从不同百科中学习到的、描述同一目标的实体或概念进行合并，再将合并后的实体集与开放链接数据集中抽取的实体进行合并。,实体对齐,,,将从不同百科中学习到的、描述同一目标的实体或概念进行合并，再将合并后的实体集与开放链接数据集中抽取的实体进行合并,
实体对齐过程主要分为六步：●从开放链接数据集中抽取同义关系。,实体对齐过程,,,从开放链接数据集中抽取同义关系,
●基于结构化的数据对百科中的实体进行实体对齐。,基于结构化的数据对百科中的实体进行实体对齐,,,实体对齐,
●采用自监督的实体对齐方法对百科的文章进行对齐。,自监督的实体对齐,,,采用自监督的实体对齐方法对百科的文章进行对齐,
●将百科中的实体与链接数据中的实体进行对齐。,百科中的实体,,,将百科中的实体与链接数据中的实体进行对齐,
●基于语言学模式的方法抽取同义关系。,基于语言学模式的方法抽取同义关系。,,,基于语言学模式的方法抽取同义关系,
●实体基于CRF的开放同义关系抽取方法学习同义词关系。,实体,,,基于CRF的开放同义关系抽取方法学习同义词关系,
黄峻福[15]提出了一种基于实体属性信息及上下文主题特征相结合进行实体对齐的方法。,黄峻福,,,基于实体属性信息及上下文主题特征相结合进行实体对齐的方法,
万静等人[16]提出了一种独立于模式的基于属性语义特征的实体对齐方法。,万静等人,,,独立于模式的基于属性语义特征的实体对齐方法,
对于上下位关系，开放链接数据集中拥有明确的描述机制，针对不同的数据集，编写相应的规则直接解析即可获取。,开放链接数据集,,,open link data set,
百科中描述了两种上下位关系，一种是类别之间的上下位关系，对应概念的层次关系；另一种则是类别与文章之间的上下位关系，对应实体与概念之间的从属关系。,上下位关系,,,superior and subordinate relationship,
实体对齐可从开放链接数据集和百科中抽取上下位关系。,实体对齐,,,开放链接数据集和百科中抽取上下位关系,
WANG等人[17]引入了弱监督学习框架提取来自用户生成的类别关系，并提出了一种基于模式的关系选择方法，解决学习过程中“语义漂移”问题。,弱监督学习框架,,,weakly supervised learning framework,
数据模式的学习又称为概念的属性学习，一个属性的定义包含三个部分：属性名、属性的定义域、属性的值域。,属性的定义,,,概念的属性学习,
数据模式的学习又称为概念的属性学习，一个属性的定义包含三个部分：属性名、属性的定义域、属性的值域。,属性的定义,,,属性的定义域,
数据模式的学习又称为概念的属性学习，一个属性的定义包含三个部分：属性名、属性的定义域、属性的值域。,属性的定义,,,属性的值域,
但概念的属性被定义好，属于该属性的实体则默认具备此属性，填充属性的值即可。,概念的属性,,,属于该属性的实体则默认具备此属性，填充属性的值即可。,
但概念的属性被定义好，属于该属性的实体则默认具备此属性，填充属性的值即可。,概念的属性,,,default具备此属性,
概念属性的变更会直接影响到它的实体、其子概念以及这些概念下的实体。,概念属性的变更,,,影响概念实体、子概念以及概念下的实体,
概念属性的变更会直接影响到它的实体、其子概念以及这些概念下的实体。,概念属性的变更,,,affect,
因此概念的属性定义十分重要，通常大部分知识库中的概念属性都是采用人工定义等方式生成的，通用知识图谱则可以从开放数据集中获取概念的属性，然后从在线百科中学习实体的属性，并对实体属性进行往上规约从而生成概念的属性。,概念的属性,,,从开放数据集中获取概念的属性,
