描述逻辑主要用于刻画概念（Concepts）、属性（Roles）、个体（Individual）、关系（Relationships）、元语（Axioms，即逻辑描述Logic_Statement）等知识表达要素。,描述逻辑,,,描述逻辑,
与传统专家系统的知识表示语言不同，描述逻辑家族更关心知识表示能力和推理计算复杂性之间的关系，并深入研究了各种表达构件的组合带来的查询、分类、一致性检测等推理计算的计算复杂度问题。,描述逻辑家族,,,关心知识表示能力和推理计算复杂性之间的关系,
语义网的基础数据模型RDF受到了元数据模型、框架系统和面向对象语言等多方面的影响，其最初是为人们在Web上发布结构化数据提供一个标准的数据描述框架。,语义网的基础数据模型RDF,,,为人们在Web上发布结构化数据提供一个标准的数据描述框架,
与此同时，语义网进一步吸收描述逻辑的研究成果，发展出了用OWL系列标准化本体语言。,语义网,,,描述逻辑的研究成果,
无论是早期专家系统时代的知识表示方法，还是语义网时代的知识表示模型，都属于以符号逻辑为基础的知识表示方法。,早期专家系统时代的知识表示方法,,,以符号逻辑为基础的知识表示方法,
无论是早期专家系统时代的知识表示方法，还是语义网时代的知识表示模型，都属于以符号逻辑为基础的知识表示方法。,早期专家系统时代的知识表示方法,,,以符号逻辑为基础的知识表示方法,
无论是早期专家系统时代的知识表示方法，还是语义网时代的知识表示模型，都属于以符号逻辑为基础的知识表示方法。,语义网时代的知识表示模型,,,以符号逻辑为基础的知识表示方法,
符号知识表示的特点是易于刻画显式、离散的知识，因而具有内生的可解释性。,符号知识表示的特点,,,易于刻画显式、离散的知识，因而具有内生的可解释性,
符号知识表示的特点是易于刻画显式、离散的知识，因而具有内生的可解释性。,符号知识表示的特点,,,易于刻画显式、离散的知识，因而具有内生的可解释性,
但由于人类知识还包含大量不易于符号化的隐性知识，完全基于符号逻辑的知识表示通常由于知识的不完备而失去鲁棒性，特别是推理很难达到实用。,知识表示的鲁棒性,,,基于符号逻辑的知识表示,
由此催生了采用连续向量的方式来表示知识的研究。,连续向量的方式来表示知识,,,采用连续向量的方式来表示知识的研究,
基于向量的方式表示知识的研究由来已有。,基于向量的方式表示知识的研究,,,基于向量表示知识的研究,
随着表示学习的发展，以及自然语言处理领域词向量等嵌入（Embedding）技术手段的出现，启发了人们用类似于词向量的低维稠密向量的方式表示知识。,表示学习,,,表示知识,
随着表示学习的发展，以及自然语言处理领域词向量等嵌入（Embedding）技术手段的出现，启发了人们用类似于词向量的低维稠密向量的方式表示知识。,表示学习,,,表示学习的发展,
通过嵌入将知识图谱中的实体和关系投射到一个低维的连续向量空间，可以为每一个实体和关系学习出一个低维度的向量表示。,向量空间,,,将知识图谱中的实体和关系投射到一个低维的连续向量空间,
通过嵌入将知识图谱中的实体和关系投射到一个低维的连续向量空间，可以为每一个实体和关系学习出一个低维度的向量表示。,向量空间,,,embedding,
这种基于连续向量的知识表示可以实现通过数值运算来发现新事实和新关系，并能更有效发现更多的隐式知识和潜在假设，这些隐式知识通常是人的主观不易于观察和总结出来的。,基于连续向量的知识表示,,,通过数值运算来发现新事实和新关系，并能更有效发现更多的隐式知识和潜在假设,
这种基于连续向量的知识表示可以实现通过数值运算来发现新事实和新关系，并能更有效发现更多的隐式知识和潜在假设，这些隐式知识通常是人的主观不易于观察和总结出来的。,基于连续向量的知识表示,,,基于连续向量的知识表示,
更为重要的是，知识图谱嵌入也通常作为一种类型的先验知识辅助输入很多深度神经网络模型中，用来约束和监督神经网络的训练过程。,知识图谱嵌入,,,先验知识辅助输入很多深度神经网络模型中，用来约束和监督神经网络的训练过程,
更为重要的是，知识图谱嵌入也通常作为一种类型的先验知识辅助输入很多深度神经网络模型中，用来约束和监督神经网络的训练过程。,知识图谱嵌入,,,knowledge graph embedding,
如图2-1所示为基于离散符号的知识表示与基于连续向量的知识表示对比。,基于离散符号的知识表示,,,基于连续向量的知识表示对比,
如图2-1所示为基于离散符号的知识表示与基于连续向量的知识表示对比。,基于离散符号的知识表示,,,基于离散符号的知识表示,
图2-1基于离散符号的知识表示与基于连续向量的知识表示对比综上所述，与传统人工智能相比，知识图谱时代的知识表示方法已经发生了很大的变化。,知识表示方法,,,基于离散符号的知识表示与基于连续向量的知识表示对比,
由于知识表示涉及大量传统人工智能的内容，并有其明确、严格的内涵及外延定义，为避免混淆，在本书中主要侧重于知识图谱的表示方法的介绍，因此用“知识表示”和“知识图谱的表示方法”加以了区分。,知识表示,,,“知识表示”,
2.2人工智能早期的知识表示方法知识是智能的基础。,知识,,,智能的基础,
人类智能往往依赖有意或无意运用已知的知识。,人类智能,,,依靠已知的知识,
人类智能往往依赖有意或无意运用已知的知识。,人类智能的运用,,,已知知识,
与此类似，人工智能系统需要获取并运用知识。,人工智能系统,,,获取并运用知识,
这里有两个核心问题：怎么表示知识？怎样在计算机中高效地存储与处理知识？本章主要阐述第一个核心问题。,本章,,,阐述第一个核心问题,
2.2.1一阶谓词逻辑一阶谓词逻辑（或简称一阶逻辑）（First_Order_Logic）是公理系统的标准形式逻辑。,一阶谓词逻辑,,,公理系统的标准形式逻辑,
不同于命题逻辑（Propositional_Logic），一阶逻辑支持量词（Quantifier）和谓词（Predicate）。,一阶逻辑,,,命题逻辑,
不同于命题逻辑（Propositional_Logic），一阶逻辑支持量词（Quantifier）和谓词（Predicate）。,一阶逻辑,,,First-Order_Logic,
例如，在命题逻辑里，以下两个句子是不相关的命题：“John_MaCarthy是图灵奖得主”（p）、“Tim_Berners-Lee是图灵奖得主”（q）。,p,,,命题逻辑,
例如，在命题逻辑里，以下两个句子是不相关的命题：“John_MaCarthy是图灵奖得主”（p）、“Tim_Berners-Lee是图灵奖得主”（q）。,等价,,,等价,
但是，在一阶逻辑里，可以用谓词和变量表示知识，例如，图灵奖得主（x）表示x是图灵奖得主。,一阶逻辑,,,用谓词和变量表示知识,
但是，在一阶逻辑里，可以用谓词和变量表示知识，例如，图灵奖得主（x）表示x是图灵奖得主。,一阶逻辑,,,first-order logic,
"这里，图灵奖得主是一元谓词（Predicate）,x是变量（Variable），图灵奖得主（x）是一个原子公式（Atomic_Formula）。",图灵奖得主,,,一元谓词,
"这里，图灵奖得主是一元谓词（Predicate）,x是变量（Variable），图灵奖得主（x）是一个原子公式（Atomic_Formula）。",一元谓词,,,Predicate,
"这里，图灵奖得主是一元谓词（Predicate）,x是变量（Variable），图灵奖得主（x）是一个原子公式（Atomic_Formula）。",x,,,变量,
"这里，图灵奖得主是一元谓词（Predicate）,x是变量（Variable），图灵奖得主（x）是一个原子公式（Atomic_Formula）。",图灵奖得主（x）,,,一个原子公式,
Ø图灵奖得主（x）是一个否定公式（Negated_Formula）。,图灵奖得主（x）,,,否定公式（Negated_Formula）,
在上面的例子中，若x为John_MaCarthy，图灵奖得主（x）为第一个命题p。,图灵奖得主,,,第一个命题p,
在上面的例子中，若x为John_MaCarthy，图灵奖得主（x）为第一个命题p。,图灵奖得主,,,第一个命题p,
若x为Tim_Berners-Lee，图灵奖得主（x）为第二个命题q。,图灵奖得主,,,Tim_Berners-Lee,
若x为Tim_Berners-Lee，图灵奖得主（x）为第二个命题q。,图灵奖得主,,,第二个命题q,
1.一阶谓词逻辑优点●结构性。,一阶谓词逻辑优点,,,结构性,
能把事物的属性以及事物间的各种语义联想显式地表示出来。,概念/SPO,,,能把事物的属性以及事物间的各种语义联想显式地表示出来。,
●严密性。,SPO,,,概念/产品,
有形式化的语法和语义，以及相关的推理规则。,本体,,,形式化的语法和语义以及相关的推理规则,
●可实现性。,SPO,,,可实现性,
可以转换为计算机内部形式，以便用算法实现。,概念/转换,,,计算机内部形式,
2.一阶谓词逻辑缺点●有限的可用性。,一阶谓词逻辑缺点,,,有限的可用性。,
一阶逻辑的逻辑归结只是半可判定性的。,一阶逻辑,,,半可判定性,
●无法表示不确定性知识。,OWL_2_CRS,,,无法表示不确定性知识,
2.2.2霍恩子句和霍恩逻辑霍恩子句（Horn_Clause）得名于逻辑学家Alfred_Horn[6]。,霍恩子句,,,霍恩逻辑,
2.2.2霍恩子句和霍恩逻辑霍恩子句（Horn_Clause）得名于逻辑学家Alfred_Horn[6]。,霍恩子句,,,Horn_Clause,
一个子句是文字的析取。,子句,,,文字的析取,
霍恩子句是带有最多一个肯定（positive）文字的子句，肯定文字指的是没有否定符号的文字。,霍恩子句,,,带有最多一个肯定（positive）文字的子句,
霍恩子句是带有最多一个肯定（positive）文字的子句，肯定文字指的是没有否定符号的文字。,霍恩子句,,,Horn clause,
例如，Øp1∨…∨Øpn∨_q是一个霍恩子句，它可以被等价地写为（p1∧…∧pn）→q。,霍恩子句,,,等价地写为（p1∧…∧pn）→q,
Alfred_Horn于1951年撰文指出这种子句的重要性。,Alfred_Horn,,,撰文指出这种子句的重要性,
霍恩逻辑（Horn_Logic）是一阶逻辑的子集。,霍恩逻辑,,,一阶逻辑,
基于霍恩逻辑的知识库是一个霍恩规则的集合。,基于霍恩逻辑的知识库,,,霍恩规则的集合,
基于霍恩逻辑的知识库是一个霍恩规则的集合。,基于霍恩逻辑的知识库,,,基于霍恩规则的集合,
"一个霍恩规则由原子公式构成：B1∧…∧Bn→H，其中H是头原子公式，B1,…,Bn是体原子公式。",霍恩规则,,,原子公式构成,
"一个霍恩规则由原子公式构成：B1∧…∧Bn→H，其中H是头原子公式，B1,…,Bn是体原子公式。",霍恩规则,,,Horn规则,
事实是霍恩规则的特例，它们是没有体原子公式且没有变量的霍恩Berners-Lee）是一个事实，可以简写为图灵奖得主规则。,事实,,,霍恩规则的特例,
事实是霍恩规则的特例，它们是没有体原子公式且没有变量的霍恩Berners-Lee）是一个事实，可以简写为图灵奖得主规则。,霍恩规则的特例,,,Horn的特例,
例如，→图灵奖得主（Tim（Tim_Berners-Lee）。,图灵奖得主,,,Tim（Tim_Berners-Lee）,
1.霍恩逻辑的优点●结构性。,霍恩逻辑的优点,,,结构性,
能把事物的属性以及事物间的各种语义联想显式地表示出来。,概念/SPO,,,能把事物的属性以及事物间的各种语义联想显式地表示出来。,
●严密性。,SPO,,,概念/产品,
有形式化的语法和语义，以及相关的推理规则。,本体,,,形式化的语法和语义以及相关的推理规则,
●易实现性。,易实现性,,,SPO三元组,
可判定，可以转换为计算机内部形式，以便用算法实现。,可判定,,,转换为计算机内部形式，以便用算法实现。,
2.霍恩逻辑的缺点●有限的表达能力。,霍恩逻辑的缺点,,,有限的表达能力,
不能定义类表达式，不能够任意使用量化。,类表达式,,,不能定义类表达式,
不能定义类表达式，不能够任意使用量化。,不能定义类表达式,,,cannot define class expression,
不能定义类表达式，不能够任意使用量化。,不能够任意使用量化,,,cannot use quantification arbitrarily,
●无法表示不确定性知识。,OWL_2_CRS,,,无法表示不确定性知识,
2.2.3语义网络语义网络是由Quillian等人提出用于表达人类的语义知识并且支持推理[3]。,语义网络,,,用于表达人类的语义知识并且支持推理,
2.2.3语义网络语义网络是由Quillian等人提出用于表达人类的语义知识并且支持推理[3]。,语义网络,,,semantic network,
语义网络又称联想网络，它在形式上是一个带标识的有向图。,语义网络,,,联想网络,
语义网络又称联想网络，它在形式上是一个带标识的有向图。,语义网络,,,联想网络,
图中“节点”用以表示各种事物、概念、情况、状态等。,节点,,,概念/产品,
每个节点可以带有若干属性。,节点,,,属性,
节点与节点间的“连接弧”（称为联想弧）用以表示各种语义联系、动作。,节点,,,“连接弧”,
节点与节点间的“连接弧”（称为联想弧）用以表示各种语义联系、动作。,节点,,,“连接弧”,
语义网络的单元是三元组：（节点1，联想弧，节点2）。,语义网络的单元,,,三元组,
语义网络的单元是三元组：（节点1，联想弧，节点2）。,三元组,,,三元组：（节点1，联想弧，节点2）。,
例如（Tim_Berners-Lee，类型，图灵奖得主）和（Tim_Berners-Lee，发明，互联网）是三元组。,Tim_Berners-Lee,,,图灵奖得主,
例如（Tim_Berners-Lee，类型，图灵奖得主）和（Tim_Berners-Lee，发明，互联网）是三元组。,Tim_Berners-Lee,,,互联网,
例如（Tim_Berners-Lee，类型，图灵奖得主）和（Tim_Berners-Lee，发明，互联网）是三元组。,Tim_Berners-Lee,,,图灵奖得主,
例如（Tim_Berners-Lee，类型，图灵奖得主）和（Tim_Berners-Lee，发明，互联网）是三元组。,Tim_Berners-Lee,,,互联网,
由于所有的节点均通过联想弧彼此相连，语义网络可以通过图上的操作进行知识推理。,语义网络,,,图上的操作进行知识推理,
由于所有的节点均通过联想弧彼此相连，语义网络可以通过图上的操作进行知识推理。,语义网络,,,semantic network,
1.语义网络的优点1）联想性。,语义网络的优点,,,联想性,
它最初是作为人类联想记忆模型提出来的。,联想记忆模型,,,作为人类联想记忆模型提出,
2）易用性。,2）易用性。,,,SPO三元组,
3）结构性。,SPO,,,结构性,
语义网络是一种结构化的知识表示方法，对数据子图特别有效。,语义网络,,,结构化的知识表示方法,
它能把事物的属性以及事物间的各种语义联想显式地表示出来。,概念/语义联想,,,事物的属性以及事物间的各种语义联想,
2.语义网络的缺点1）无形式化语法。,语义网络的缺点,,,无形式化语法,
语义网络表示知识的手段多种多样，虽然灵活性很高，但同时也由于表示形式的不一致提高了对其处理的复杂性。,语义网络,,,表示知识的手段多种多样,
语义网络表示知识的手段多种多样，虽然灵活性很高，但同时也由于表示形式的不一致提高了对其处理的复杂性。,语义网络表示知识的手段,,,semantic network representation knowledge,
例如，“每个学生都读过一本书”可以表示为多种不同的语义网络，例如图2-2和图2-3中的语义网络。,语义网络,,,表示为多种不同的语义网络,
例如，“每个学生都读过一本书”可以表示为多种不同的语义网络，例如图2-2和图2-3中的语义网络。,语义网络,,,"semantic network, ",
在图2-2中，GS表示一个概念节点，指的是具有全称量化的一般事件，g是一个实例节点，代表GS中的一个具体例子，而s是一个全称变量，是学生这个概念的一个个体，r和b都是存在变量，其中r是读这个概念的一个个体，b是书这个概念的一个个体，F指g覆盖的子空间及其具体形式，而∀代表全称量词。,GS,,,一般事件,
在图2-2中，GS表示一个概念节点，指的是具有全称量化的一般事件，g是一个实例节点，代表GS中的一个具体例子，而s是一个全称变量，是学生这个概念的一个个体，r和b都是存在变量，其中r是读这个概念的一个个体，b是书这个概念的一个个体，F指g覆盖的子空间及其具体形式，而∀代表全称量词。,g,,,GS中的一个具体例子,
在图2-2中，GS表示一个概念节点，指的是具有全称量化的一般事件，g是一个实例节点，代表GS中的一个具体例子，而s是一个全称变量，是学生这个概念的一个个体，r和b都是存在变量，其中r是读这个概念的一个个体，b是书这个概念的一个个体，F指g覆盖的子空间及其具体形式，而∀代表全称量词。,s,,,学生这个概念的一个个体,
在图2-2中，GS表示一个概念节点，指的是具有全称量化的一般事件，g是一个实例节点，代表GS中的一个具体例子，而s是一个全称变量，是学生这个概念的一个个体，r和b都是存在变量，其中r是读这个概念的一个个体，b是书这个概念的一个个体，F指g覆盖的子空间及其具体形式，而∀代表全称量词。,r,,,读这个概念的一个个体,
在图2-2中，GS表示一个概念节点，指的是具有全称量化的一般事件，g是一个实例节点，代表GS中的一个具体例子，而s是一个全称变量，是学生这个概念的一个个体，r和b都是存在变量，其中r是读这个概念的一个个体，b是书这个概念的一个个体，F指g覆盖的子空间及其具体形式，而∀代表全称量词。,b,,,书这个概念的一个个体,
而图2-3则把“每个学生都读过一本书”表示成：任何一个学生s1都是属于读过一本书这个概念的元素。,任何一个学生s1,,,属于读过一本书这个概念的元素,
图2-3表示“每个学生都读过一本书”的语义网络2）无形式化语义。,语义网络,,,“每个学生都读过一本书”的语义网络,
图2-3表示“每个学生都读过一本书”的语义网络2）无形式化语义。,等价,,,等价,
与一阶谓词逻辑相比，语义网络没有公认的形式表示体系。,语义网络,,,一阶谓词逻辑,
与一阶谓词逻辑相比，语义网络没有公认的形式表示体系。,语义网络,,,语义网络,
一个给定的语义网络表达的含义完全依赖处理程序如何对它进行解释。,语义网络,,,解释,
通过推理网络而实现的推理不能保证其正确性。,推理网络,,,通过推理网络而实现的推理,
此外，目前采用量词（包括全称量词和存在量词）的语义网络表示法在逻辑上是不充分的，不能保证不存在二义性。,量词,,,quantifier,
2.2.4框架框架（Frame）最早由Marvin_Minsky在1975年提出[7]，目标是更好地理解视觉推理和自然语言处理。,框架,,,视觉推理和自然语言处理,
2.2.4框架框架（Frame）最早由Marvin_Minsky在1975年提出[7]，目标是更好地理解视觉推理和自然语言处理。,框架,,,Frame,
其理论的基本思想是：认为人们对现实世界中各种事物的认识都以一种类似于框架的结构存储在记忆中。,框架存储,,,人们对现实世界中各种事物的认识,
当面临一个新事物时，就从记忆中找出一个合适的框架，并根据实际情况对其细节加以修改、补充，从而形成对当前事物的认识。,框架思维,,,根据实际情况对其细节加以修改、补充,
框架是一种描述对象（事物、事件或概念等）属性的数据结构。,框架,,,描述对象属性的数据结构,
框架是一种描述对象（事物、事件或概念等）属性的数据结构。,框架,,,描述对象属性的数据结构,
在框架理论中，类是知识表示的基本单位。,类,,,知识表示的基本单位,
每个类有一些槽，每个槽又可分为若干“侧面”。,类,,,槽侧面,
一个槽用于表示描述对象的一个属性，而一个侧面用语表示槽属性的一个方面，槽和侧面都可以有属性值，分别称为槽值和侧面值。,侧面,,,槽属性的一个方面,
一个槽用于表示描述对象的一个属性，而一个侧面用语表示槽属性的一个方面，槽和侧面都可以有属性值，分别称为槽值和侧面值。,侧面,,,side,
除此之外，框架还允许给属性设默认值，以及设立触发器以维护框架。,框架,,,给属性设默认值,
除此之外，框架还允许给属性设默认值，以及设立触发器以维护框架。,框架,,,设立触发器以维护框架,
除此之外，框架还允许给属性设默认值，以及设立触发器以维护框架。,框架,,,frame,
1）下面是框架的基本组成的一个示例：2）表2-1给出一个带变量框架实例。,框架的组成,,,一个示例,
如果把框架“tx未遂杀人案”的变量赋值，可以得到下面的一个框架实例，如表2-2所示。,tx未遂杀人案,,,框架实例,
表2-1带变量框架实例表2-2变量赋值框架实例1.框架的优点1）结构性：能把事物的属性以及事物间的各种语义联想显式地表示出来。,框架的优点,,,结构性,
表2-1带变量框架实例表2-2变量赋值框架实例1.框架的优点1）结构性：能把事物的属性以及事物间的各种语义联想显式地表示出来。,框架的优点,,,结构性,
2）框架对于知识的描述比较全面，支持默认值以及触发器。,框架,,,知识的描述比较全面,
2.框架的缺点1）框架的构建成本非常高，对知识库的质量要求非常高。,框架的缺点,,,构建成本非常高，对知识库的质量要求非常高。,
2）默认值会增大推理的复杂度。,默认值,,,推理的复杂度,
3）无法表示不确定性知识。,SPO,,,无法表示不确定性知识,
2.2.5描述逻辑描述逻辑是一阶逻辑的一个可判定子集。,描述逻辑,,,一阶逻辑的一个可判定子集,
最初由Ronald_J.Brachman在1985年提出。,OWL_2_QL,,,Ronald_J.Brachman,
描述逻辑可以被看成是利用一阶逻辑对语义网络和框架进行形式化后的产物。,描述逻辑,,,一阶逻辑对语义网络和框架进行形式化后的产物。,
描述逻辑可以被看成是利用一阶逻辑对语义网络和框架进行形式化后的产物。,描述逻辑,,,description logic,
描述逻辑一般支持一元谓词和二元谓词。,描述逻辑,,,一元谓词和二元谓词,
描述逻辑一般支持一元谓词和二元谓词。,一元谓词,,,unary predicate,
描述逻辑一般支持一元谓词和二元谓词。,二元谓词,,,binary predicate,
一元谓词称为类，二元谓词称为关系。,一元谓词,,,类,
一元谓词称为类，二元谓词称为关系。,一元谓词,,,类,
一元谓词称为类，二元谓词称为关系。,二元谓词,,,关系,
描述逻辑的重要特征是同时具有很强的表达能力和可判定性。,描述逻辑,,,很强的表达能力,
描述逻辑的重要特征是同时具有很强的表达能力和可判定性。,描述逻辑,,,很强的可判定性,
描述逻辑近年来受到广泛关注，被选为W3C互联网本体语言（OWL）的理论基础。,描述逻辑,,,W3C互联网本体语言（OWL）,
1.描述逻辑的优点1）结构性。,描述逻辑的优点,,,结构性,
能把事物的属性以及事物间的各种语义联想显式地表示出来。,概念/SPO,,,能把事物的属性以及事物间的各种语义联想显式地表示出来。,
2）严密性。,2）严密性。,,,SPO三元组,
有形式化的语法和语义，以及相关的推理规则。,本体,,,形式化的语法和语义以及相关的推理规则,
3）多样性。,多样性,,,SPO三元组,
具有大量可判定的扩展，以满足不同应用场景的需求。,知识问答,,,可判定的扩展,
4）易实现性。,易实现性,,,SPO三元组,
可判定，可以转换为计算机内部形式，以便用算法实现。,可判定,,,转换为计算机内部形式，以便用算法实现。,
2.描述逻辑的缺点1）有限的表达能力。,描述逻辑的缺点,,,有限的表达能力,
不支持显式使用变量，不能够任意使用量化。,SPO,,,不支持显式使用变量,
不支持显式使用变量，不能够任意使用量化。,SPO,,,supports explicit use of variables,
不支持显式使用变量，不能够任意使用量化。,SPO,,,cannot use quantification arbitrarily,
2）无法表示不确定性知识。,SPO,,,无法表示不确定性知识,
